Names,Race,Gender,Sports,Birth Origin,Age,Zip,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Military Tenure,Avg Commute Time,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record
Todd Reed,Caucasian,male,1.0,USA,33.0,94131,4,2.97,0.36,9.5,4.22,0.0,44.0,-0.21,0.5,-3.87,-3.2,Engineering,Very Good,Good,1.0,0.0,0.0
David Gonzalez,African-American,male,2.0,USA,30.0,94578,4,3.47,0.5,3.5,3.52,0.0,39.0,0.06999999999999995,5.48,6.17,5.69,Humanities,Ok,Good,1.0,0.0,0.0
Randall Thompson,Caucasian,male,1.0,USA,34.0,94586,4,4.04,0.38,7.5,3.97,0.0,38.0,-1.33,3.2,1.76,1.2,Engineering,Very Good,Good,1.0,0.0,0.0
Gerald Sanchez,Asian,male,0.0,USA,27.0,94040,4,2.81,0.18,3.5,2.27,0.0,4.0,-0.27,2.91,1.7,0.93,Engineering,None,Good,1.0,0.0,0.0
Ernest Mills,Asian,male,0.0,USA,24.0,94533,4,2.93,0.5,1.0,3.0,0.0,80.0,-1.5,1.46,-1.72,-1.06,Engineering,Very Good,Good,0.0,0.0,0.0
Carlos Ellis,Hispanic,male,1.0,USA,26.0,94038,4,2.91,0.48,4.0,3.89,0.0,57.0,-3.95,2.1,0.63,1.06,Sciences,Ok,Good,0.0,0.0,0.0
Gary Corujo,Hispanic,male,2.0,USA,31.0,94061,4,3.89,0.2,5.0,3.7,3.0,22.0,1.61,2.08,1.06,0.93,Engineering,Very Good,Good,1.0,1.0,0.0
Michael Hunt,Asian,male,2.0,USA,30.0,94085,4,4.01,0.56,5.0,4.65,3.5,8.0,2.89,1.83,-2.57,-2.33,Engineering,Ok,Good,1.0,0.0,0.0
Blanca Hill,Caucasian,female,0.0,USA,30.0,94010,4,2.39,0.42,4.0,2.5900000000000003,0.0,33.0,-0.84,1.56,-1.36,-0.91,Engineering,Ok,Good,0.0,1.0,0.0
Abby Amini,Caucasian,female,0.0,USA,29.0,94040,4,2.8,0.34,6.0,2.53,0.0,4.0,-0.93,1.26,-2.17,-2.13,Quantitative,Ok,Good,0.0,0.0,0.0
Anthony Pratt,Hispanic,male,2.0,USA,27.0,94549,4,2.82,0.26,6.0,3.32,0.0,53.0,0.6000000000000001,2.29,0.62,0.53,Engineering,Ok,Good,0.0,1.0,0.0
Jaime Harshbarger,African-American,female,0.0,USA,26.0,94523,4,2.72,0.62,6.0,2.08,0.0,55.0,-2.0,2.1,0.48,-0.14,Quantitative,None,Good,0.0,0.0,0.0
Robert Merriman,Hispanic,male,2.0,Canada,24.0,94131,4,2.78,0.62,3.0,3.98,0.0,44.0,-2.76,0.8,-1.32,-0.97,Engineering,Very Good,Good,1.0,0.0,0.0
Gary Carmean,Caucasian,male,2.0,USA,34.0,94566,4,3.42,0.42,7.0,3.72,2.0,35.0,-0.05,1.4,-1.44,-0.18,Engineering,Ok,Good,1.0,0.0,0.0
Sidney Carden,African-American,male,0.0,USA,31.0,94605,4,2.7,0.44,7.0,3.23,0.0,42.0,-3.17,1.47,-1.27,-1.11,Engineering,Very Good,Good,0.0,0.0,0.0
Richard Mason,Caucasian,male,1.0,USA,34.0,94903,4,2.0,0.44,6.0,3.12,2.0,70.0,0.14,1.16,0.61,0.91,Humanities,Very Good,Good,0.0,0.0,0.0
Scott Doyle,Hispanic,male,1.0,Canada,32.0,95002,4,3.37,0.16,6.0,3.56,2.0,14.0,-0.38,1.24,-0.25,-0.29,Sciences,Very Good,Good,0.0,0.0,0.0
John Quach,Asian,male,2.0,USA,23.0,95035,4,3.56,0.72,1.5,3.95,0.0,18.0,-1.2,1.56,-0.58,-0.91,Engineering,Ok,Good,1.0,0.0,0.0
Elfriede Mcbee,Hispanic,female,1.0,USA,24.0,94523,4,3.22,0.4,1.0,1.31,1.0,55.0,-1.25,2.23,0.06,-0.24,Engineering,Ok,Good,0.0,0.0,0.0
Glendora Cannon,Asian,female,0.0,USA,29.0,94061,4,3.08,0.24,6.0,2.94,0.0,22.0,-0.32,0.68,-2.05,-2.08,Engineering,None,Good,0.0,0.0,0.0
Lynn Devore,African-American,female,0.0,USA,29.0,95002,4,2.55,-0.04,6.0,0.9300000000000002,0.0,14.0,0.38,1.62,0.79,0.6,Sciences,Ok,Good,1.0,0.0,0.0
Olive Briggs,Other,female,1.0,USA,28.0,94085,4,3.49,0.94,5.0,2.72,0.0,10.0,1.66,1.42,-1.8,-1.22,Engineering,Very Good,Good,1.0,0.0,0.0
Lisa Thom,Caucasian,female,2.0,USA,25.0,94525,4,3.03,0.36,3.5,3.1,0.0,64.0,2.82,2.33,0.76,1.37,Quantitative,Very Good,Good,0.0,0.0,0.0
Ronald Brennan,Caucasian,male,1.0,USA,29.0,94595,4,2.88,0.16,7.5,3.67,0.0,56.0,0.77,2.92,1.88,0.97,Engineering,Ok,Good,1.0,0.0,0.0
Beatrice Fisch,Caucasian,female,2.0,USA,31.0,95002,4,3.42,0.4,6.0,4.0699999999999985,0.0,14.0,4.18,2.61,-0.09,-1.63,Quantitative,Very Good,Good,1.0,1.0,0.0
Eric Goodwin,Caucasian,male,2.0,USA,26.0,94569,4,2.98,0.42,4.0,3.43,0.0,68.0,-1.25,1.36,-1.47,-1.07,Quantitative,Ok,Bad,0.0,0.0,0.0
Robert Lee,African-American,male,1.0,USA,28.0,94014,4,2.92,0.44,4.0,3.6,2.0,43.0,-0.3,1.19,-1.98,-2.23,Engineering,Very Good,Good,1.0,1.0,0.0
Tyrone Schuldt,African-American,male,2.0,USA,29.0,95134,4,2.88,0.5,4.0,3.74,1.0,16.0,-1.1,2.93,1.16,1.34,Quantitative,Very Good,Good,1.0,0.0,0.0
Christina Goodpasture,Caucasian,female,2.0,USA,32.0,94591,4,3.34,0.3,7.0,3.31,1.5,74.0,-0.68,1.85,1.1,0.81,Engineering,None,Good,0.0,0.0,0.0
Nathaniel Sullivan,Asian,male,2.0,USA,30.0,94014,4,3.25,0.5,6.5,3.59,0.0,43.0,-1.59,2.73,1.4,1.2,Engineering,None,Good,1.0,0.0,0.0
Milton Porterfield,Caucasian,male,0.0,USA,28.0,94549,4,2.85,0.36,4.5,3.06,1.5,53.0,-1.45,0.32,-3.36,-2.4,Engineering,Ok,Good,0.0,0.0,0.0
Olivia Mast,Hispanic,female,2.0,USA,27.0,94903,4,3.26,0.3,6.0,2.15,0.0,70.0,-1.59,1.86,1.03,1.54,Engineering,Ok,Good,1.0,0.0,0.0
Victor Fox,Other,male,2.0,USA,28.0,94040,4,3.23,0.54,5.0,4.07,0.0,4.0,0.87,1.47,0.87,0.8,Quantitative,Ok,Good,0.0,0.0,0.0
Ruth Caudill,Asian,female,1.0,USA,33.0,94085,4,2.38,0.44,4.5,2.55,3.0,9.0,1.41,1.96,0.95,0.03,Engineering,None,Good,0.0,0.0,0.0
Vera Coil,African-American,female,1.0,USA,29.0,94801,4,2.52,-0.1,7.5,1.89,0.0,63.0,-0.49,2.99,2.73,2.0,Quantitative,Very Good,Good,1.0,0.0,0.0
Kenneth Strong,Caucasian,male,1.0,USA,30.0,94087,4,2.87,0.38,5.5,3.19,2.0,12.0,-0.1,1.94,2.0,2.51,Sciences,Ok,Good,1.0,0.0,0.0
Steven Wise,Caucasian,male,1.0,USA,36.0,94040,4,3.24,0.64,11.5,5.47,3.0,0.0,2.19,3.31,1.69,1.4,Engineering,Ok,Good,1.0,0.0,0.0
Ray Reardon,Asian,female,1.0,Canada,28.0,94542,4,3.18,0.52,4.0,3.66,0.0,41.0,1.31,1.13,-2.5,-1.39,Quantitative,Ok,Good,1.0,0.0,0.0
Gary Turner,Caucasian,male,1.0,USA,27.0,94598,4,2.58,0.24,3.0,2.33,1.0,67.0,-1.8,2.39,1.09,1.77,Engineering,Ok,Good,0.0,0.0,0.0
Sandee Mcalister,Caucasian,female,0.0,USA,25.0,94121,4,2.62,0.16,3.0,1.02,1.0,54.0,-1.85,2.5,0.22,0.28,Quantitative,None,Good,0.0,1.0,1.0
Dawn Small,Caucasian,female,2.0,USA,30.0,94588,4,3.9,0.28,8.5,3.98,0.0,36.0,0.81,2.17,3.29,3.36,Quantitative,Very Good,Good,1.0,0.0,0.0
Anthony Marcum,Caucasian,male,0.0,USA,26.0,94085,4,2.79,0.3,4.0,2.32,0.0,9.0,-0.14,0.0,-4.71,-4.62,Engineering,None,Bad,0.0,0.0,0.0
Joseph Stafford,Asian,male,2.0,USA,29.0,94587,4,3.33,0.42,4.0,3.4,0.0,30.0,0.51,4.17,6.3,6.04,Engineering,None,Good,0.0,0.0,0.0
Helen Wallen,Hispanic,female,2.0,Mexico,29.0,94402,4,4.06,0.48,7.0,3.12,0.0,28.0,0.34,3.47,3.1,1.17,Engineering,Ok,Good,1.0,0.0,0.0
Nicole Williams,African-American,female,1.0,Canada,29.0,94560,4,3.77,0.5,5.5,3.3200000000000003,0.0,29.0,1.88,2.42,0.44,1.14,Engineering,Very Good,Good,1.0,0.0,0.0
Elizabeth Zettlemoyer,Caucasian,female,0.0,USA,32.0,94070,4,3.7,0.38,7.5,3.86,0.5,27.0,-2.05,3.23,3.35,2.05,Engineering,None,Good,1.0,0.0,0.0
James Toher,Caucasian,male,1.0,USA,29.0,94061,4,3.74,0.5,5.5,3.78,0.0,22.0,-0.01,1.12,-0.7,-0.58,Sciences,Very Good,Good,0.0,0.0,0.0
Ambrose Marshall,Caucasian,male,2.0,USA,29.0,94720,4,3.8,0.44,4.5,3.4,0.0,58.0,-1.26,2.95,1.49,0.57,Quantitative,Very Good,Good,0.0,1.0,0.0
Bobby Messer,Caucasian,male,1.0,USA,26.0,95620,4,2.53,0.1,4.0,2.33,0.0,111.0,1.09,3.85,1.97,2.78,Engineering,Ok,Good,0.0,0.0,0.0
Michael Chockley,Caucasian,male,2.0,USA,30.0,94010,4,3.39,0.2,7.0,3.47,0.0,33.0,0.43,1.43,0.11,-0.43,Quantitative,Very Good,Good,0.0,0.0,0.0
Bradley Martinez,African-American,male,1.0,USA,32.0,94539,4,3.34,0.0,8.0,3.17,0.0,25.0,-1.44,1.92,0.52,1.17,Engineering,Very Good,Good,0.0,0.0,0.0
Timothy Schneider,Caucasian,male,0.0,USA,39.0,94085,4,2.95,0.5,11.0,4.55,5.0,9.0,4.08,1.38,1.04,0.12,Engineering,Very Good,Good,1.0,0.0,0.0
Margaret Smith,Caucasian,female,0.0,USA,30.0,94402,4,2.78,0.48,5.0,2.8000000000000003,0.0,28.0,-2.07,1.33,-0.72,-0.72,Sciences,Very Good,Good,1.0,0.0,0.0
Amy Lingenfelter,Caucasian,female,0.0,USA,27.0,94544,4,3.82,0.54,5.0,4.55,0.0,32.0,-0.36,1.69,-2.17,-0.86,Sciences,Ok,Bad,0.0,0.0,0.0
Bernardo Bradford,Caucasian,male,0.0,USA,33.0,94028,4,2.98,0.52,5.0,3.24,2.0,23.0,0.81,1.92,1.3,1.25,Engineering,Ok,Good,0.0,0.0,0.0
Charles Ritchie,Hispanic,male,1.0,USA,31.0,94586,4,2.5,0.34,8.5,2.94,0.0,38.0,1.46,1.5,-1.54,-1.26,Quantitative,Ok,Bad,1.0,0.0,0.0
Raymond Ramm,Hispanic,male,2.0,USA,35.0,94105,4,3.65,0.46,9.5,5.28,0.0,45.0,-0.13,0.0,-3.51,-2.29,Engineering,Very Good,Good,1.0,0.0,0.0
Robert Saunders,Caucasian,male,1.0,USA,26.0,94587,4,2.04,0.18,4.5,2.25,0.0,30.0,-1.29,0.94,-1.89,-2.27,Humanities,Ok,Good,0.0,1.0,0.0
Eric Hamblin,African-American,male,1.0,USA,29.0,94578,4,4.29,0.24,8.5,4.91,0.0,39.0,1.24,2.15,-0.79,-0.85,Engineering,Very Good,Good,1.0,0.0,0.0
David Griffin,Caucasian,male,2.0,USA,28.0,94549,4,2.94,0.26,4.0,3.08,1.0,53.0,-1.3,1.66,0.11,-0.05,Quantitative,Very Good,Good,0.0,0.0,0.0
Shannon Thomas,African-American,male,2.0,USA,26.0,94592,4,3.0,0.72,2.5,3.49,2.5,78.0,0.08999999999999997,1.6,-1.66,-1.04,Quantitative,Ok,Good,0.0,0.0,0.0
Lydia Mcrae,Asian,female,1.0,USA,28.0,94603,4,3.16,0.56,1.0,2.89,0.0,40.0,3.71,2.01,-0.81,-0.54,Quantitative,Very Good,Bad,0.0,0.0,0.0
John Durham,Asian,male,1.0,USA,29.0,94578,4,2.88,0.4,3.0,2.9,0.0,39.0,-1.82,2.17,1.19,0.6,Sciences,Very Good,Good,0.0,0.0,0.0
Steve Trongone,Caucasian,male,1.0,USA,26.0,94043,4,3.23,0.62,5.5,3.43,0.0,5.0,2.09,2.6,-0.48,-0.67,Engineering,Very Good,Good,1.0,1.0,0.0
Xiomara Gathers,Hispanic,female,0.0,Canada,29.0,94010,4,2.87,0.18,7.0,1.17,0.0,33.0,-4.07,1.97,2.39,1.75,Engineering,None,Good,1.0,0.0,0.0
Carmen Neri,Caucasian,female,1.0,USA,25.0,94572,4,2.9,0.6,4.0,3.49,0.0,72.0,-4.68,0.0,-4.71,-4.92,Quantitative,Ok,Good,0.0,0.0,0.0
Daren Clark,Caucasian,male,0.0,USA,29.0,95134,4,3.18,0.62,6.5,3.48,0.0,16.0,-4.17,2.88,2.7,2.5,Engineering,Ok,Good,0.0,0.0,0.0
John Grondin,Hispanic,male,1.0,Mexico,29.0,94040,4,2.74,0.4,5.0,2.97,4.0,0.0,1.7999999999999998,1.41,-2.44,-2.24,Engineering,None,Good,0.0,0.0,0.0
Todd Ward,Hispanic,male,0.0,USA,33.0,94010,4,2.95,0.42,7.5,2.68,0.0,33.0,-0.94,1.14,-1.32,-0.76,Quantitative,None,Bad,0.0,0.0,0.0
Lester Freeman,Asian,male,0.0,USA,26.0,94503,4,3.1,0.34,0.5,2.07,0.0,83.0,-0.37,0.91,-2.71,-2.64,Engineering,None,Bad,0.0,0.0,0.0
Edward Hurtado,Other,male,0.0,Canada,25.0,94105,4,3.03,0.42,2.5,2.89,0.0,45.0,1.65,2.59,1.23,1.33,Humanities,None,Good,0.0,0.0,0.0
Roberto Hawkins,Caucasian,male,0.0,USA,23.0,94022,4,3.93,0.68,0.5,3.07,0.0,13.0,-1.03,1.36,-1.64,-0.44,Quantitative,None,Good,0.0,0.0,0.0
Michael Sturgis,Caucasian,male,1.0,USA,28.0,94121,4,2.93,0.58,5.0,4.11,0.0,54.0,1.69,1.96,1.69,0.99,Engineering,Ok,Good,1.0,0.0,0.0
Mary Ruda,Caucasian,female,2.0,USA,27.0,94544,4,3.55,0.22,6.0,3.88,0.0,31.0,0.38,1.84,-0.21,-1.51,Engineering,Very Good,Good,1.0,0.0,0.0
Susan Martin,African-American,female,1.0,USA,29.0,94609,4,3.11,0.22,7.5,2.39,0.0,50.0,0.06000000000000005,2.27,0.95,1.51,Engineering,Ok,Good,0.0,0.0,0.0
Dave Neverson,African-American,male,2.0,USA,35.0,94603,4,3.72,0.5,7.0,4.58,0.0,40.0,1.31,3.55,2.1,1.61,Quantitative,None,Good,1.0,1.0,0.0
Judy Sanchez,Hispanic,female,0.0,USA,30.0,94043,4,2.48,0.04,3.0,-0.1499999999999999,2.5,5.0,0.78,2.07,0.09,0.31,Quantitative,Ok,Good,0.0,1.0,0.0
Josephine Simmons,Caucasian,female,2.0,USA,26.0,94941,4,2.85,0.62,6.0,3.96,0.0,75.0,0.2,1.18,-2.14,-0.95,Engineering,Ok,Good,1.0,0.0,0.0
Milton King,Caucasian,male,0.0,USA,27.0,94586,4,2.78,0.3,5.0,2.96,0.0,38.0,0.04,2.38,-0.32,0.0,Engineering,Ok,Bad,1.0,0.0,0.0
William Smith,Caucasian,male,2.0,USA,33.0,95002,4,2.71,0.18,7.0,3.36,3.5,15.0,2.69,1.82,1.99,1.79,Quantitative,Ok,Good,1.0,0.0,0.0
Aubrey Garcia,Caucasian,male,1.0,USA,29.0,94114,4,3.32,0.4,5.5,4.08,0.0,47.0,-0.47,1.3,-1.66,-1.56,Engineering,Ok,Good,1.0,0.0,0.0
James Kim,African-American,male,0.0,USA,29.0,94611,4,2.77,0.28,4.0,2.51,2.0,52.0,-0.04,0.98,-2.26,-1.75,Engineering,Ok,Bad,0.0,0.0,0.0
Maria Staton,African-American,female,0.0,USA,24.0,94587,4,3.11,0.7,0.0,1.33,0.0,30.0,-0.19,2.47,0.8,0.69,Humanities,Ok,Good,0.0,1.0,0.0
George Nelson,African-American,male,2.0,USA,26.0,94538,4,3.43,0.64,3.0,3.44,0.0,21.0,0.53,2.19,0.7,0.27,Engineering,Ok,Good,0.0,1.0,0.0
Emily Rickel,Asian,female,2.0,USA,32.0,95002,4,2.72,0.46,9.5,3.89,0.0,15.0,1.34,1.99,-0.85,-1.99,Engineering,Very Good,Good,0.0,0.0,0.0
David Kitchens,Asian,male,2.0,China,28.0,94709,4,3.44,0.56,1.0,3.31,0.0,59.0,-0.12,1.26,-0.02,-0.03,Quantitative,Very Good,Good,0.0,0.0,0.0
Justin Dommer,Caucasian,male,0.0,USA,34.0,94586,4,2.73,0.22,9.5,3.53,3.0,38.0,0.55,2.91,0.84,0.82,Engineering,Very Good,Bad,0.0,0.0,0.0
David Schwartz,Caucasian,male,0.0,USA,29.0,94545,4,2.65,0.44,4.5,3.03,2.0,37.0,-0.25,2.05,0.35,0.23,Sciences,Very Good,Bad,0.0,0.0,0.0
Kristen Schneider,Hispanic,female,1.0,Mexico,29.0,94569,4,3.13,0.26,5.5,1.69,0.0,68.0,-3.24,2.41,-0.08,-0.77,Engineering,Very Good,Good,0.0,0.0,0.0
Alberto Ulmer,African-American,male,0.0,USA,28.0,94523,4,3.08,0.22,4.5,2.84,0.0,55.0,2.05,1.99,-1.22,-0.56,Engineering,Ok,Good,0.0,0.0,0.0
Ray Barajas,Caucasian,male,2.0,USA,27.0,94539,4,3.89,1.0,4.5,4.76,0.0,25.0,-2.0,3.77,1.63,2.85,Quantitative,None,Good,1.0,0.0,0.0
Anthony Keepers,Asian,male,1.0,USA,33.0,94560,4,2.71,0.32,6.5,2.29,0.0,29.0,1.26,2.44,1.85,2.15,Engineering,Ok,Bad,0.0,0.0,0.0
Susan Torres,Caucasian,female,1.0,USA,29.0,94564,4,3.77,0.56,7.0,4.19,0.0,62.0,-4.17,2.45,-0.09,-0.65,Engineering,Ok,Good,1.0,0.0,0.0
James Pena,Caucasian,male,0.0,USA,25.0,95134,4,1.97,0.54,0.0,2.06,2.0,16.0,-0.27,2.53,2.87,3.78,Sciences,None,Bad,0.0,0.0,0.0
Louis Webber,Asian,male,2.0,USA,29.0,94538,4,3.28,0.58,3.0,3.61,3.0,21.0,0.94,1.33,0.13,0.84,Quantitative,Very Good,Good,0.0,0.0,0.0
Rose Chagnon,Asian,female,0.0,China,29.0,94542,4,2.55,0.5,5.0,2.89,0.0,41.0,-0.68,1.55,-1.08,-1.17,Engineering,Ok,Good,0.0,0.0,0.0
Robert Boehm,Hispanic,male,1.0,Mexico,27.0,94131,4,3.08,0.5,5.0,3.97,0.0,44.0,-0.51,0.84,-2.62,-3.03,Engineering,Very Good,Good,1.0,0.0,0.0
Michael Johnson,Asian,male,0.0,USA,32.0,94022,4,3.06,0.4,7.0,3.43,0.0,13.0,0.64,1.54,-2.07,-1.22,Engineering,Ok,Good,0.0,0.0,0.0
Paul Muller,Caucasian,male,1.0,Canada,32.0,94301,4,2.94,0.54,9.0,4.39,0.0,17.0,2.57,2.1,0.81,1.18,Engineering,Very Good,Good,1.0,0.0,0.0
Samuel Rickards,Caucasian,male,1.0,USA,26.0,94542,4,4.08,0.48,5.0,3.39,0.0,41.0,0.02,4.29,3.11,2.22,Humanities,None,Good,0.0,0.0,0.0
Richard Veney,Hispanic,male,0.0,USA,28.0,94085,4,2.78,0.18,5.0,3.03,0.0,9.0,5.25,3.21,1.47,1.7,Engineering,Ok,Good,0.0,0.0,0.0
Jeremiah Cook,African-American,male,1.0,USA,31.0,94043,4,3.14,0.32,5.0,2.98,4.0,5.0,3.62,4.38,4.21,3.44,Engineering,Very Good,Good,0.0,0.0,0.0
Andrew Thomas,African-American,male,1.0,USA,31.0,94301,4,3.41,0.42,10.5,4.1,0.0,17.0,0.5900000000000001,4.22,3.32,1.98,Quantitative,Ok,Good,0.0,0.0,0.0
Beulah Griggs,Asian,female,0.0,USA,27.0,94085,4,4.34,0.32,6.0,4.9,0.0,10.0,4.23,0.74,-2.19,-2.08,Quantitative,Ok,Good,1.0,0.0,0.0
Tommy Martell,Caucasian,male,1.0,USA,23.0,94544,4,3.29,0.7,3.0,4.43,0.0,32.0,1.33,1.45,-0.11,-0.19,Quantitative,None,Good,1.0,0.0,0.0
John Branson,Asian,male,1.0,USA,23.0,94502,4,3.68,0.66,2.0,3.03,0.0,49.0,-5.15,1.86,-0.08,-0.46,Engineering,Ok,Good,0.0,0.0,0.0
Savannah Kuykendall,Caucasian,female,0.0,USA,30.0,94040,4,2.82,0.34,3.5,2.5500000000000003,3.0,2.0,2.63,1.14,-0.88,-0.44,Engineering,Very Good,Good,0.0,0.0,0.0
Joshua Bowen,Hispanic,male,0.0,USA,27.0,94085,4,2.22,0.22,4.0,1.75,0.0,8.0,2.45,1.45,0.49,1.66,Engineering,None,Bad,0.0,1.0,0.0
David Martinez,Asian,male,2.0,China,25.0,94549,4,2.48,0.5,3.5,3.35,0.0,53.0,-1.93,2.98,0.89,0.02,Engineering,None,Good,1.0,0.0,0.0
Ryan Florez,Caucasian,male,1.0,USA,32.0,94720,4,3.1,0.5,8.5,4.12,0.0,58.0,-3.18,1.44,-0.45,-0.42,Humanities,Very Good,Good,1.0,0.0,0.0
Robert Miller,Caucasian,male,0.0,USA,26.0,94925,4,2.68,0.74,4.5,3.31,0.0,66.0,0.61,3.88,3.37,3.42,Engineering,Very Good,Good,0.0,0.0,0.0
Paul Sloan,Caucasian,male,2.0,USA,31.0,94105,4,3.74,0.52,8.0,3.81,0.0,45.0,-2.13,2.42,0.67,0.47,Humanities,None,Good,0.0,0.0,0.0
Phyllis Abbott,Caucasian,female,0.0,USA,25.0,94085,4,2.71,0.48,4.5,2.66,0.0,10.0,-2.56,0.0,-4.47,-3.76,Quantitative,Ok,Bad,0.0,0.0,0.0
Brad Archambault,Caucasian,male,1.0,USA,29.0,94578,4,3.2,0.4,8.0,4.34,0.0,39.0,-1.01,3.55,2.65,3.2,Engineering,Very Good,Good,1.0,1.0,0.0
Amanda Mcnicholas,Caucasian,female,0.0,USA,30.0,94603,4,2.71,0.54,4.5,2.13,0.0,40.0,2.31,1.99,-0.03,-0.36,Engineering,Ok,Bad,0.0,0.0,0.0
Crystal Petersen,Caucasian,female,0.0,USA,30.0,94027,4,2.85,0.32,7.0,2.92,0.0,24.0,-3.76,1.13,-1.94,-1.75,Engineering,None,Good,0.0,0.0,0.0
Brendon Walker,Other,male,2.0,USA,32.0,94131,4,3.2,0.64,4.5,3.89,0.0,44.0,-0.12,2.83,2.02,1.4,Sciences,None,Good,1.0,0.0,0.0
Morgan Richardson,African-American,female,2.0,USA,28.0,94304,4,4.03,0.2,6.0,2.5700000000000003,0.0,19.0,-0.37,1.65,-0.35,0.16,Sciences,Ok,Good,1.0,0.0,0.0
Dennis Sutch,Caucasian,male,2.0,USA,26.0,94587,4,3.01,0.42,2.0,3.34,0.0,30.0,0.21,2.0,-1.22,-0.43,Quantitative,Very Good,Good,1.0,0.0,0.0
Marie Leberte,Caucasian,female,1.0,USA,27.0,94588,4,2.56,0.08,4.5,1.98,0.0,36.0,-0.3,0.65,-1.87,-1.64,Engineering,Ok,Bad,0.0,1.0,0.0
Michael Rivera,Hispanic,male,2.0,USA,31.0,94027,4,3.6,0.38,8.0,4.58,0.0,24.0,0.91,0.0,-3.58,-3.32,Engineering,Very Good,Good,1.0,0.0,0.0
Carla Wagoner,Caucasian,female,2.0,USA,30.0,94709,4,3.85,0.86,5.0,5.119999999999999,0.0,59.0,0.29,2.53,0.48,0.92,Engineering,Very Good,Good,1.0,0.0,0.0
Stephen Campbell,Asian,male,0.0,Canada,28.0,94618,4,2.39,0.38,4.5,3.03,0.0,51.0,1.9,2.68,2.76,3.4,Quantitative,Very Good,Good,0.0,0.0,0.0
Janice Middleton,Other,female,2.0,USA,28.0,94109,4,3.39,0.62,6.0,2.56,0.0,48.0,-1.69,2.74,-0.2,-0.23,Quantitative,Ok,Good,1.0,0.0,0.0
Jim Fuller,Caucasian,male,2.0,USA,26.0,94587,4,3.24,0.7,4.0,3.67,0.0,30.0,1.48,2.71,2.21,0.9,Humanities,Very Good,Good,0.0,1.0,0.0
Yong Brooks,Other,male,1.0,USA,26.0,94027,4,2.99,0.36,4.0,2.97,0.0,24.0,0.89,3.09,1.07,1.19,Quantitative,Ok,Good,0.0,0.0,0.0
Scott Prince,Caucasian,male,2.0,Australia,30.0,94131,4,3.89,0.34,6.5,4.48,0.0,44.0,-1.42,1.91,-0.43,-0.25,Engineering,None,Good,1.0,0.0,0.0
Robert Fabre,Caucasian,male,2.0,USA,28.0,94586,4,3.66,0.42,4.0,3.53,0.0,38.0,1.04,1.04,-2.51,-3.41,Quantitative,None,Good,0.0,0.0,0.0
Roy Maxwell,Caucasian,male,2.0,Australia,26.0,94587,4,3.16,0.4,4.0,3.13,0.0,30.0,0.43,2.6,3.14,2.5,Engineering,None,Good,0.0,0.0,0.0
Debra Stafford,Caucasian,female,0.0,USA,31.0,94560,4,3.52,0.38,7.0,3.18,0.0,29.0,1.18,2.3,0.11,0.01,Engineering,Very Good,Bad,0.0,1.0,0.0
Sonja Montoya,Caucasian,female,1.0,USA,29.0,94304,4,3.4,0.54,3.0,3.38,0.0,19.0,0.62,2.06,1.6,2.61,Engineering,Very Good,Good,0.0,0.0,0.0
Antonio Younce,Caucasian,male,2.0,USA,31.0,94022,4,3.36,0.38,6.5,3.85,2.0,13.0,0.29,3.47,4.27,3.68,Engineering,Ok,Good,1.0,0.0,0.0
Alison Naquin,Asian,female,2.0,USA,33.0,94089,4,3.65,0.52,8.0,4.53,0.0,11.0,0.1,2.3,0.75,0.8,Sciences,Ok,Good,1.0,0.0,0.0
Billy Asmussen,Caucasian,male,0.0,USA,31.0,94019,4,2.78,0.32,7.0,2.71,0.0,46.0,-1.04,2.47,1.21,1.08,Sciences,Ok,Bad,0.0,0.0,0.0
William Hosley,Other,male,2.0,USA,32.0,94611,4,3.03,0.48,8.0,3.98,0.0,52.0,0.35,2.25,1.49,1.45,Engineering,Ok,Good,0.0,0.0,0.0
David Medill,Asian,male,0.0,USA,29.0,94304,4,3.44,0.5,2.0,2.99,0.0,19.0,-2.56,3.45,1.01,-0.11,Engineering,Ok,Good,0.0,0.0,0.0
Marian Kratochvil,Caucasian,female,2.0,USA,35.0,94043,4,3.59,0.5,5.5,3.47,3.0,6.0,2.63,2.52,1.36,1.32,Quantitative,Very Good,Good,0.0,0.0,0.0
David Kirby,Caucasian,male,1.0,USA,24.0,94533,4,3.69,0.32,3.0,3.37,0.0,80.0,-2.74,1.71,-0.06,-0.55,Engineering,None,Good,0.0,0.0,1.0
John Grossi,Caucasian,male,0.0,USA,28.0,94945,4,3.3,0.62,6.5,3.72,0.0,77.0,-1.79,2.18,1.22,1.45,Quantitative,Very Good,Good,0.0,0.0,0.0
Matthew Barth,Caucasian,male,0.0,USA,29.0,94603,4,2.99,0.22,5.0,2.1,2.5,40.0,0.66,2.86,2.95,3.36,Engineering,Ok,Good,0.0,0.0,0.0
Stacy Hewitt,Hispanic,female,0.0,USA,29.0,94603,4,3.49,0.04,4.5,1.5099999999999998,0.0,40.0,-0.27,1.72,-1.52,-1.4,Engineering,None,Good,1.0,0.0,0.0
