Names,Race,Gender,Sports,Birth Origin,Age,Zip,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record
Horace Hawkins,Caucasian,male,0.0,USA,31.0,94609,4,3.09,0.06,6.5,2.79,10.3,0.0,50.0,0.0,-2.94,2.36,-0.61,-0.99,5.92,Engineering,None,Good,0.0,0.0,0.0
Carolee Lloyd,Caucasian,female,2.0,USA,26.0,95035,4,3.49,0.69,4.0,3.89,13.24,2.0,18.0,3.0,0.22,3.7,3.35,3.09,10.73,Engineering,Very Good,Good,0.0,0.0,0.0
Nicole Worstell,Caucasian,female,0.0,USA,33.0,94301,4,2.95,0.61,7.5,4.19,13.4,0.0,17.0,0.0,-4.03,1.59,-1.26,-0.97,5.88,Sciences,None,Good,1.0,0.0,1.0
Teresa Przygocki,Caucasian,female,1.0,USA,26.0,95035,4,2.96,0.51,3.0,2.67,9.95,0.0,18.0,4.0,0.88,2.35,1.37,2.33,10.04,Quantitative,Ok,Good,1.0,0.0,0.0
Colin Wade,Asian,male,0.0,USA,25.0,94105,4,3.03,0.27,3.5,2.24,8.66,0.0,45.0,4.0,0.95,0.5,-2.96,-2.25,4.38,Quantitative,Ok,Good,0.0,0.0,0.0
Michael Wood,Caucasian,male,1.0,USA,34.0,94578,4,3.18,0.49,7.5,4.37,14.11,4.0,39.0,6.5,3.1,2.33,-0.93,-0.82,6.35,Humanities,Ok,Good,0.0,0.0,0.0
Olga Cunningham,Caucasian,female,2.0,USA,29.0,94572,4,3.11,0.61,6.0,3.94,12.96,0.0,72.0,2.0,-1.07,2.06,0.59,1.42,8.89,Quantitative,Ok,Good,1.0,0.0,0.0
Annette Schoenthal,Other,female,2.0,USA,26.0,95002,4,2.9,0.29,2.5,3.22,12.69,3.5,14.0,6.0,3.12,1.06,-0.72,-0.24,6.58,Sciences,Ok,Good,0.0,0.0,0.0
James Mena,Caucasian,male,2.0,USA,29.0,94085,4,3.75,0.27,8.0,4.1,13.34,0.0,8.0,3.0,-0.13,1.89,-0.12,-0.46,6.25,Engineering,Very Good,Good,0.0,0.0,0.0
Samantha Garcia,Caucasian,female,1.0,Australia,29.0,94089,4,2.74,0.51,4.0,2.83,10.08,0.0,11.0,2.0,-1.05,1.84,-0.75,-0.87,5.93,Quantitative,Ok,Good,0.0,1.0,0.0
Clayton Vigil,Caucasian,male,2.0,USA,26.0,94040,4,3.94,0.45,2.5,3.31,11.74,0.0,0.0,6.5,2.94,2.99,1.41,1.0,8.29,Engineering,None,Good,0.0,0.0,0.0
Harold Smolik,Caucasian,male,2.0,USA,25.0,94544,4,3.65,0.71,1.5,3.62,12.65,1.5,31.0,1.5,-1.41,0.11,-2.89,-3.8,1.92,Sciences,Very Good,Good,1.0,0.0,0.0
Charles Oberholtzer,Other,male,1.0,USA,26.0,95035,4,1.81,0.35,4.0,2.1,8.46,0.0,18.0,3.5,0.14,1.36,-0.52,-1.04,5.26,Engineering,Ok,Bad,0.0,1.0,0.0
Maria Mullins,Asian,female,1.0,Canada,28.0,94114,4,3.55,0.45,5.0,3.43,11.77,0.0,47.0,2.0,-0.82,1.71,0.27,-0.36,6.18,Engineering,Very Good,Good,0.0,0.0,0.0
Janet Phillips,Caucasian,female,0.0,USA,23.0,94040,4,1.87,0.43,2.0,1.46,6.42,0.0,0.0,3.5,0.15,2.32,0.33,0.96,8.47,Humanities,Ok,Good,0.0,0.0,0.0
Brian Brooks,Caucasian,male,1.0,Canada,30.0,94025,4,3.25,0.51,2.5,3.4,12.45,3.0,20.0,5.5,2.38,2.72,2.02,2.27,9.72,Engineering,Ok,Good,0.0,0.0,0.0
David Cherry,Caucasian,male,1.0,USA,30.0,94089,4,2.94,0.33,3.5,1.79,6.71,3.0,11.0,4.5,1.03,3.02,1.95,2.18,9.85,Engineering,Very Good,Good,0.0,1.0,0.0
Rosemary May,Caucasian,female,0.0,USA,27.0,94301,4,2.41,0.65,4.0,3.17,11.23,0.0,17.0,6.0,2.99,3.42,3.26,2.91,10.47,Engineering,Ok,Good,0.0,0.0,0.0
Michael Harrington,African-American,male,2.0,USA,30.0,94085,4,3.64,0.8,6.5,4.47,13.86,2.0,10.0,3.0,-0.1,3.03,2.18,1.98,9.35,Engineering,Very Good,Good,1.0,0.0,0.0
John Hoskins,African-American,male,2.0,USA,25.0,94038,4,2.71,0.41,3.0,3.62,13.9,0.0,57.0,1.5,-1.47,1.9,1.23,1.95,9.38,Engineering,Very Good,Good,1.0,0.0,0.0
Mindi Pigg,Other,female,0.0,USA,31.0,94040,4,3.49,0.47,8.5,2.96,8.55,0.0,3.0,7.0,3.42,2.21,1.49,1.06,7.98,Quantitative,Ok,Bad,0.0,0.0,0.0
Thomas Boyd,Caucasian,male,1.0,USA,34.0,95002,4,3.87,0.33,7.5,4.2,13.81,0.0,15.0,6.0,2.64,2.07,-0.62,-0.6,6.31,Engineering,Ok,Good,1.0,0.0,0.0
Luther Burch,Asian,male,2.0,USA,26.0,94027,4,3.12,0.51,5.0,3.43,11.51,0.0,24.0,6.0,2.22,0.95,-1.68,-0.54,6.65,Quantitative,Very Good,Good,0.0,0.0,0.0
John Kahola,African-American,male,0.0,USA,29.0,94709,4,3.13,0.55,5.5,3.46,11.379999999999999,0.0,59.0,0.5,-1.99,3.14,2.45,2.73,10.33,Humanities,Ok,Good,0.0,0.0,0.0
Antone Moss,Caucasian,male,2.0,USA,26.0,94027,4,3.24,0.24,3.0,2.71,10.73,0.0,24.0,4.0,0.58,0.82,-2.05,-1.92,4.55,Engineering,Very Good,Good,0.0,1.0,0.0
Jeremy Newman,Asian,male,1.0,China,29.0,94043,4,3.85,0.59,7.0,4.16,13.04,0.0,7.0,4.0,0.45,2.49,0.54,1.21,8.8,Quantitative,Very Good,Good,1.0,1.0,0.0
Martin Carbo,Asian,male,2.0,USA,29.0,94539,4,3.27,0.67,6.5,4.28,13.870000000000001,0.0,25.0,2.0,-0.81,3.7,1.8,1.55,9.12,Quantitative,Ok,Good,1.0,0.0,0.0
Robert Smith,Caucasian,male,0.0,USA,28.0,94085,4,2.29,0.63,3.5,2.52,9.06,2.5,8.0,4.0,0.64,1.18,-2.2,-2.34,4.08,Sciences,None,Good,0.0,0.0,0.0
David Baeza,Caucasian,male,0.0,USA,25.0,95002,4,2.8,0.18,4.0,1.71,6.85,0.0,15.0,3.0,-0.62,1.69,0.12,0.29,7.27,Engineering,Ok,Good,0.0,1.0,0.0
Anna Kennedy,African-American,female,2.0,USA,31.0,94588,4,3.78,0.24,7.5,3.6,12.03,1.0,36.0,1.0,-1.98,1.84,-0.51,0.08,7.34,Humanities,Very Good,Good,0.0,0.0,0.0
Robert Overstreet,Caucasian,male,2.0,USA,31.0,94105,4,3.44,0.65,6.5,4.14,13.41,0.0,45.0,0.0,-4.17,2.02,0.22,0.32,7.32,Sciences,Ok,Good,1.0,0.0,0.0
Rebecca Severson,African-American,female,2.0,USA,28.0,94040,4,3.58,0.67,6.0,4.0,12.72,0.0,3.0,4.0,0.53,3.39,3.0,2.37,9.71,Quantitative,Ok,Good,0.0,0.0,0.0
Charlotte Kroner,African-American,female,1.0,USA,24.0,94019,4,2.61,0.39,2.0,2.04,8.28,0.0,46.0,0.0,-2.32,3.97,2.8,2.66,10.46,Engineering,None,Good,0.0,0.0,0.0
Victoria Dulle,African-American,female,0.0,USA,24.0,95140,4,2.3,0.65,2.0,1.79,6.779999999999999,0.0,142.0,0.0,-4.96,2.46,-0.3,0.07,7.38,Engineering,Ok,Bad,1.0,1.0,0.0
Myrtle Jordan,Caucasian,female,1.0,USA,28.0,94087,4,2.96,0.25,5.0,2.33,8.41,0.0,12.0,4.0,0.71,0.16,-2.3,-1.56,5.13,Quantitative,None,Bad,0.0,0.0,0.0
Michele Nordahl,Hispanic,female,1.0,Australia,27.0,94025,4,3.3,0.71,5.0,4.75,16.19,0.0,20.0,2.5,-0.9,2.07,1.18,0.87,7.87,Quantitative,Very Good,Good,0.0,1.0,1.0
Megan Barton,African-American,female,1.0,USA,30.0,94043,4,2.83,0.1,5.0,1.98,7.5600000000000005,0.0,5.0,5.0,2.07,1.93,0.22,-0.79,5.76,Sciences,Ok,Good,0.0,0.0,0.0
Susan Guidry,Caucasian,female,1.0,USA,27.0,94587,4,2.54,0.22,5.5,3.42,12.9,0.0,30.0,4.0,0.86,3.05,1.95,0.78,7.68,Engineering,Very Good,Good,1.0,0.0,0.0
Debora Privette,African-American,female,1.0,USA,19.0,94085,4,2.76,0.57,-2.0,2.22,9.85,1.0,8.0,1.0,-1.71,3.39,3.36,3.58,11.33,Engineering,Ok,Good,0.0,0.0,0.0
Kory Floyd,Caucasian,male,0.0,USA,26.0,94560,4,2.83,0.37,4.0,3.02,11.04,0.0,29.0,5.5,2.33,2.06,-1.65,-1.18,5.95,Engineering,Very Good,Good,0.0,0.0,0.0
Toby Miller,Hispanic,male,1.0,USA,31.0,94525,4,3.36,0.39,6.0,4.04,13.72,2.0,64.0,3.0,0.01,2.86,2.63,2.39,9.7,Quantitative,Very Good,Good,1.0,0.0,0.0
Martha Basel,Hispanic,female,1.0,USA,31.0,94545,4,3.23,0.53,6.5,5.0,16.95,0.0,37.0,6.0,2.59,1.64,0.26,0.7,7.8,Engineering,Ok,Good,1.0,0.0,0.0
Lindy Rich,Caucasian,female,1.0,USA,28.0,94043,4,3.92,0.41,4.0,3.06,10.58,0.0,6.0,4.0,0.92,0.77,-1.57,-0.65,6.27,Engineering,Ok,Good,1.0,0.0,0.0
Lawrence Clifford,Caucasian,male,0.0,USA,31.0,94114,4,2.76,0.41,8.0,3.43,11.33,0.0,47.0,0.0,-3.2,1.85,-1.06,-0.49,6.74,Humanities,Very Good,Bad,0.0,0.0,0.0
Norman Branch,Caucasian,male,0.0,USA,27.0,94301,4,2.9,0.22,3.0,2.1,8.78,0.0,17.0,6.0,2.49,1.63,-2.43,-2.82,3.58,Quantitative,None,Bad,0.0,0.0,0.0
Jean Robinson,African-American,female,2.0,USA,29.0,94040,4,3.43,0.43,6.0,4.0,13.53,0.0,3.0,4.0,0.39,1.46,-2.8,-3.16,3.22,Sciences,Ok,Good,1.0,0.0,0.0
Jose Strickland,Other,male,0.0,USA,29.0,94089,4,2.89,0.47,5.5,2.97,9.97,0.0,11.0,5.0,1.31,0.0,-5.32,-4.59,1.61,Humanities,None,Good,0.0,0.0,0.0
Jeffery Hester,Caucasian,male,2.0,USA,27.0,94043,4,3.63,0.45,3.0,3.32,11.8,0.0,5.0,7.0,3.23,2.35,1.45,1.22,8.3,Quantitative,Ok,Bad,0.0,0.0,0.0
Harold Rodriguez,Caucasian,male,1.0,USA,30.0,94569,4,2.8,0.27,8.0,3.4,11.27,0.0,68.0,1.5,-0.91,2.82,2.39,2.23,9.48,Quantitative,None,Bad,0.0,0.0,0.0
Shirley Claypoole,Caucasian,female,0.0,USA,31.0,94556,4,1.93,0.27,6.0,2.73,9.89,0.0,65.0,2.0,-0.56,3.81,2.67,3.06,11.12,Engineering,None,Good,1.0,0.0,0.0
James Chumley,Caucasian,male,1.0,USA,29.0,94025,4,2.54,0.63,6.5,3.75,12.44,0.0,20.0,0.5,-2.25,4.19,5.23,4.42,12.19,Sciences,Very Good,Good,1.0,0.0,0.0
Ronald Sloan,Caucasian,male,0.0,USA,31.0,94611,4,2.52,0.53,6.0,3.24,11.02,1.0,52.0,2.0,-0.63,1.57,-2.01,-0.98,6.3,Engineering,Ok,Bad,0.0,1.0,0.0
Christopher Lewis,African-American,male,2.0,USA,29.0,94538,4,3.13,0.65,4.0,3.69,12.5,3.0,21.0,5.0,1.24,2.76,1.85,1.94,9.37,Engineering,Ok,Good,0.0,0.0,0.0
Robert Yashinski,Caucasian,male,2.0,USA,29.0,94502,4,2.97,0.39,8.0,4.52,15.04,0.0,49.0,6.0,2.81,3.1,1.12,1.18,8.73,Quantitative,Ok,Good,1.0,0.0,0.0
Richard Bromley,African-American,male,2.0,USA,32.0,94105,4,4.05,0.39,8.0,4.58,14.66,0.0,45.0,0.0,-5.51,2.15,-0.06,-0.1,6.96,Engineering,None,Good,1.0,0.0,0.0
Amy Holtgrewe,Caucasian,female,1.0,USA,31.0,94070,4,3.17,0.33,5.0,3.37,12.03,0.0,27.0,4.0,0.5,0.28,-3.47,-2.41,4.39,Engineering,Ok,Good,0.0,0.0,0.0
Jonathan Daniels,Hispanic,male,2.0,USA,32.0,94014,4,3.7,0.43,6.5,4.42,14.79,0.0,43.0,0.0,-3.36,2.0,-1.14,-1.62,4.96,Sciences,Ok,Good,1.0,0.0,0.0
Omar Coronado,Hispanic,male,2.0,USA,30.0,94304,4,3.47,0.49,6.0,3.78,12.47,0.0,19.0,2.0,-1.06,2.64,1.08,0.84,8.02,Engineering,Ok,Good,1.0,0.0,0.0
Frederick Rehrig,Other,male,2.0,USA,32.0,95002,4,3.52,0.37,6.0,4.17,14.35,0.0,15.0,2.5,-0.37,2.21,0.54,0.67,7.85,Engineering,Ok,Good,1.0,0.0,0.0
Miranda Carpenter,Other,female,1.0,Canada,23.0,94403,4,3.43,0.43,0.5,3.09,12.18,0.0,26.0,6.5,2.92,0.97,-0.02,-0.14,6.46,Humanities,Ok,Good,1.0,0.0,0.0
Carmen Erekson,Asian,female,1.0,USA,29.0,94022,4,3.65,0.24,5.0,3.47,12.3,2.0,13.0,4.0,0.49,2.22,0.89,1.11,8.4,Engineering,None,Good,0.0,0.0,0.0
Irene Gibson,Caucasian,female,0.0,USA,25.0,94089,4,4.08,0.55,3.0,3.18,10.83,0.0,11.0,5.0,1.84,0.7,-3.07,-1.63,5.5,Engineering,Ok,Good,0.0,1.0,0.0
Ann Burns,African-American,female,0.0,USA,31.0,94027,4,2.51,0.08,5.0,1.73,7.04,3.0,24.0,5.0,1.91,1.04,-0.18,0.8,7.93,Engineering,Ok,Bad,0.0,0.0,0.0
Keith Austin,Other,male,2.0,China,34.0,95002,4,4.22,0.53,7.0,4.48,14.33,3.0,14.0,5.0,2.07,2.34,0.65,0.38,7.47,Engineering,Ok,Good,1.0,0.0,0.0
Justin Vaughan,Caucasian,male,1.0,USA,28.0,94720,4,3.8,0.55,5.0,4.0,13.29,0.0,58.0,2.0,-0.86,0.92,-1.61,-0.89,6.06,Engineering,None,Good,1.0,1.0,0.0
Pauline Dacosta,Other,female,0.0,USA,28.0,94544,4,2.79,0.39,6.0,2.93,10.06,0.0,31.0,1.0,-1.59,3.62,3.2,2.4,9.87,Engineering,Very Good,Good,0.0,0.0,0.0
John Hannon,African-American,male,1.0,USA,25.0,94603,4,2.87,0.41,1.0,2.19,8.73,0.0,40.0,2.0,-0.67,1.86,1.24,1.35,8.48,Quantitative,Ok,Good,0.0,0.0,0.0
Leland Temple,Caucasian,male,1.0,USA,29.0,94040,4,2.93,0.31,2.0,2.15,8.74,4.0,4.0,7.0,3.81,3.01,1.51,1.56,9.07,Engineering,None,Bad,1.0,0.0,0.0
Nathan Bucklin,Caucasian,male,0.0,USA,27.0,94578,4,2.35,0.37,4.0,1.92,7.4,0.0,39.0,2.0,-0.77,1.64,-0.78,0.17,7.53,Humanities,None,Bad,0.0,0.0,0.0
Roger Kea,Caucasian,male,1.0,USA,29.0,94572,4,3.05,0.69,6.5,4.17,13.49,0.0,72.0,3.5,0.97,2.28,-0.63,0.53,8.26,Engineering,Ok,Bad,1.0,0.0,0.0
Ernest Klassen,Caucasian,male,0.0,USA,27.0,94301,4,2.73,0.47,3.0,2.87,10.75,0.0,17.0,7.5,4.25,1.57,-0.15,-0.97,5.3,Quantitative,Ok,Good,0.0,0.0,0.0
Jonathan Nez,Caucasian,male,0.0,USA,30.0,94121,4,2.74,0.25,5.5,2.85,10.13,0.0,54.0,3.0,0.29,0.98,-1.01,0.2,7.38,Quantitative,Very Good,Good,0.0,0.0,0.0
Louise Wekenborg,Caucasian,female,0.0,Australia,30.0,94566,4,3.05,0.31,6.5,3.16,10.74,3.0,35.0,4.5,1.13,0.99,-1.71,-1.35,5.27,Sciences,Ok,Good,0.0,0.0,0.0
Cheryl Rhynes,Other,female,1.0,Australia,30.0,94085,4,2.42,0.18,2.5,2.16,9.36,2.5,9.0,4.0,0.14,1.07,-2.43,-1.7,5.26,Sciences,None,Bad,0.0,1.0,0.0
Hobert Vergari,Caucasian,male,1.0,USA,29.0,94588,4,2.95,0.31,5.5,3.03,10.55,0.0,36.0,1.5,-1.12,1.96,0.81,0.38,7.14,Engineering,Very Good,Good,0.0,0.0,0.0
Guy Loguidice,Asian,male,2.0,USA,31.0,94544,4,2.92,0.51,8.0,3.84,12.42,0.0,32.0,5.5,2.26,1.92,-0.39,-0.47,6.37,Engineering,Very Good,Bad,0.0,1.0,0.0
Michael Meade,Asian,male,2.0,China,28.0,94043,4,2.73,0.45,6.0,3.35,11.65,0.0,5.0,3.0,0.07,2.13,0.31,-0.16,6.72,Engineering,Very Good,Good,0.0,1.0,0.0
Jill Grandfield,African-American,female,1.0,USA,31.0,94947,4,3.82,0.37,6.5,4.07,13.73,0.0,86.0,0.0,-2.82,1.66,0.12,-0.31,6.34,Engineering,Ok,Good,1.0,0.0,0.0
Curtis Rogers,Caucasian,male,0.0,USA,28.0,94040,4,3.1,0.35,2.5,2.61,9.88,0.0,3.0,3.5,0.01,1.06,-2.17,-2.81,3.37,Quantitative,Very Good,Bad,0.0,0.0,0.0
Charles Smith,Caucasian,male,2.0,USA,28.0,94061,4,3.1,0.43,6.0,3.53,11.94,0.0,22.0,2.0,-0.8,2.92,1.88,1.44,8.66,Quantitative,Ok,Good,1.0,0.0,0.0
Anthony Laudenslager,Hispanic,male,2.0,USA,33.0,94595,4,3.39,0.47,8.0,4.28,13.78,0.0,56.0,1.0,-1.62,1.41,-1.51,-1.58,4.96,Quantitative,Very Good,Good,1.0,0.0,0.0
Johnny Chapman,Asian,male,2.0,Canada,31.0,94560,4,3.68,0.27,8.0,4.29,14.04,0.0,29.0,0.5,-2.16,1.08,-0.87,-0.54,6.16,Engineering,Ok,Good,1.0,0.0,0.0
Stacy Johnson,Hispanic,female,0.0,USA,32.0,94040,4,3.24,-0.1,5.5,2.86,11.21,0.0,3.0,7.0,3.0,2.6,1.9,1.08,8.0,Quantitative,None,Good,0.0,0.0,0.0
Reginald Schultz,African-American,male,1.0,USA,30.0,94301,4,2.71,0.35,7.5,3.55,11.77,0.0,17.0,6.0,2.8,4.03,4.13,3.35,10.91,Engineering,Ok,Bad,0.0,0.0,0.0
Ryan Sheffer,Asian,male,1.0,USA,28.0,95002,4,2.42,0.41,6.0,3.23,11.45,0.0,15.0,2.0,-0.78,0.0,-5.12,-5.05,0.91,Quantitative,Very Good,Good,0.0,0.0,1.0
Charles Wooden,Asian,male,0.0,USA,29.0,94544,4,2.66,0.63,5.0,2.69,8.95,0.0,31.0,5.0,2.12,2.36,0.03,-0.2,6.79,Engineering,Ok,Bad,0.0,0.0,0.0
Russell Bowens,Asian,male,1.0,USA,27.0,94304,4,2.53,0.29,2.5,2.44,9.99,0.0,19.0,1.5,-1.24,3.64,4.17,3.52,10.96,Quantitative,Ok,Bad,0.0,0.0,0.0
Donna Bearden,Caucasian,female,0.0,USA,29.0,94040,4,2.87,0.24,5.5,2.72,9.84,0.0,4.0,5.0,1.47,2.29,1.72,1.18,8.17,Engineering,Ok,Bad,0.0,0.0,0.0
James Curley,Caucasian,male,2.0,USA,29.0,94587,4,2.39,0.25,7.0,3.31,11.46,0.0,30.0,2.0,-0.34,3.1,0.91,0.17,7.22,Engineering,Ok,Good,0.0,0.0,0.0
Kim Hamilton,Asian,female,2.0,China,29.0,94040,4,3.07,0.24,8.0,3.58,11.94,0.0,1.0,4.0,0.47,1.81,-3.12,-2.11,5.18,Engineering,Ok,Good,0.0,0.0,0.0
Ronald Jones,Caucasian,male,1.0,USA,31.0,94121,4,4.19,0.39,6.5,4.52,14.96,1.5,54.0,2.0,-1.18,1.15,-2.26,-3.21,2.82,Engineering,Ok,Good,1.0,0.0,1.0
Keith Ogden,Caucasian,male,1.0,Canada,30.0,94028,4,3.12,0.45,7.0,4.26,14.129999999999999,0.0,23.0,0.0,-4.12,4.55,3.93,3.07,10.83,Engineering,Very Good,Good,1.0,0.0,0.0
Perry Wilshire,Caucasian,male,0.0,USA,27.0,94585,4,3.53,0.37,3.5,3.07,11.120000000000001,1.5,99.0,1.0,-1.4,4.23,6.11,5.29,13.03,Sciences,Very Good,Bad,0.0,0.0,0.0
Matthew Doty,Caucasian,male,2.0,USA,35.0,94040,4,2.99,0.25,7.0,3.57,12.26,3.0,4.0,5.5,2.09,2.26,1.28,1.33,8.53,Engineering,None,Good,0.0,0.0,0.0
Mitchell Magness,African-American,male,0.0,USA,30.0,94538,4,3.82,0.71,3.5,4.23,14.15,0.0,21.0,1.5,-1.22,0.4,-4.2,-4.17,1.94,Quantitative,Ok,Good,1.0,0.0,0.0
John Campbell,African-American,male,1.0,USA,30.0,94403,4,2.8,0.41,3.0,3.46,13.15,2.0,26.0,3.5,0.14,0.0,-3.49,-2.66,3.75,Engineering,None,Good,1.0,0.0,0.0
Juan Hamner,Caucasian,male,1.0,USA,30.0,94556,4,2.83,0.16,7.0,3.71,13.23,0.0,65.0,3.0,0.52,3.87,2.6,2.8,10.72,Quantitative,Very Good,Good,1.0,0.0,0.0
Young Switzer,Hispanic,female,1.0,USA,31.0,94010,4,2.91,0.57,5.0,3.12,10.36,0.0,33.0,3.0,-0.18,2.95,3.43,3.91,11.71,Quantitative,Ok,Bad,0.0,1.0,1.0
Eugene Henslee,Caucasian,male,2.0,USA,28.0,94605,4,3.56,0.49,5.5,4.38,14.809999999999999,0.0,42.0,0.0,-2.97,1.52,-2.16,-1.77,5.02,Quantitative,Ok,Bad,0.0,1.0,0.0
Kathy Smittle,African-American,female,2.0,USA,29.0,94549,4,2.52,0.35,4.5,3.25,12.17,0.0,53.0,3.0,0.07,1.88,0.27,0.27,7.28,Quantitative,Very Good,Good,0.0,0.0,0.0
Robert Adams,Caucasian,male,1.0,USA,30.0,94040,4,2.98,0.76,6.0,4.16,13.39,0.0,1.0,1.5,-1.44,1.06,-0.55,-0.41,6.36,Sciences,None,Good,0.0,0.0,0.0
Charles Carpenter,African-American,male,2.0,USA,31.0,94105,4,3.23,0.59,6.0,3.98,12.92,3.0,45.0,4.0,1.29,0.89,-2.44,-2.42,4.1,Quantitative,Ok,Good,1.0,1.0,0.0
Jacquelyn Schreyer,Hispanic,female,2.0,USA,31.0,94089,4,3.23,0.18,7.0,3.47,12.129999999999999,0.0,11.0,5.5,1.92,2.63,2.61,2.01,9.11,Quantitative,Ok,Good,0.0,0.0,0.0
Billy Romero,African-American,male,2.0,USA,25.0,94304,4,3.21,0.55,4.5,3.52,11.99,0.0,19.0,5.0,1.96,0.91,-3.04,-1.94,5.02,Engineering,Ok,Bad,0.0,0.0,1.0
Julie Palmer,Caucasian,female,2.0,USA,30.0,94085,4,2.77,0.25,5.5,3.53,12.76,1.5,9.0,2.0,-1.22,1.21,-0.85,0.36,7.73,Engineering,Ok,Good,1.0,0.0,0.0
Susan Price,Caucasian,female,2.0,USA,28.0,94595,4,3.08,0.49,5.5,3.72,12.53,0.0,56.0,1.5,-1.46,3.83,3.09,1.96,9.14,Engineering,Ok,Good,0.0,0.0,0.0
Rickey Walker,Hispanic,male,2.0,USA,27.0,94707,4,4.13,0.73,4.5,4.85,15.93,0.0,60.0,5.0,1.99,1.93,-1.47,-1.68,4.98,Engineering,Very Good,Good,1.0,0.0,0.0
Jason Vasquez,African-American,male,2.0,USA,29.0,94618,4,3.6,0.33,7.5,4.07,13.44,0.0,51.0,3.5,0.34,2.43,0.19,0.12,7.22,Engineering,None,Good,0.0,0.0,0.0
Janice Sinkler,African-American,female,2.0,USA,25.0,94560,4,2.62,0.41,2.5,3.33,12.74,0.0,29.0,3.0,0.27,1.48,-2.04,-3.08,3.02,Humanities,None,Good,1.0,0.0,0.0
Myrtice Smith,Caucasian,female,1.0,USA,31.0,94131,4,3.64,0.49,4.5,3.31,11.26,0.0,44.0,3.0,0.19,2.13,-0.59,-0.98,5.8,Engineering,None,Good,0.0,0.0,0.0
Robert Hadden,Caucasian,male,2.0,USA,25.0,94085,4,3.59,0.45,5.0,4.29,14.66,0.0,9.0,3.5,0.26,0.55,-2.15,-1.35,5.46,Engineering,Very Good,Good,1.0,0.0,0.0
Amy Thai,Asian,female,0.0,USA,24.0,94085,4,2.48,0.65,3.0,2.93,10.58,0.0,9.0,2.0,-1.44,2.82,0.33,-0.48,6.35,Engineering,Ok,Good,0.0,0.0,0.0
Michelle Macmillan,Hispanic,female,2.0,USA,29.0,94085,4,3.78,0.41,6.0,4.33,14.54,0.0,8.0,4.5,0.95,0.89,-1.75,-0.42,6.73,Engineering,Ok,Bad,1.0,0.0,0.0
Travis Price,Caucasian,male,2.0,Canada,33.0,94114,4,3.36,0.67,9.0,4.71,14.280000000000001,2.0,47.0,2.5,-0.28,0.69,-2.72,-1.73,5.13,Engineering,Very Good,Good,1.0,0.0,0.0
Robert Tudor,Caucasian,male,2.0,USA,26.0,95002,4,3.33,0.37,6.0,4.27,14.84,0.0,14.0,5.0,1.9,3.54,3.49,3.3,11.02,Quantitative,Very Good,Good,1.0,0.0,0.0
David Snyder,Hispanic,male,0.0,USA,27.0,94801,4,2.8,0.16,4.5,2.27,8.9,0.0,63.0,2.0,-0.87,2.47,2.28,2.22,9.55,Engineering,Ok,Good,0.0,0.0,0.0
Russel Vue,Caucasian,male,1.0,USA,27.0,94586,4,4.04,0.78,1.0,4.01,13.879999999999999,0.0,38.0,4.0,0.81,0.9,-1.69,-1.21,5.47,Engineering,Ok,Good,1.0,0.0,0.0
Nathaniel Burgos,Caucasian,male,2.0,USA,26.0,94403,4,3.33,0.49,4.5,3.74,13.01,0.0,26.0,2.0,-1.0,0.68,-1.13,-1.33,5.05,Humanities,Very Good,Good,0.0,0.0,0.0
James Colucci,Caucasian,male,1.0,USA,25.0,94040,4,2.83,0.47,4.5,3.28,11.52,0.0,1.0,5.0,1.35,2.0,0.89,0.79,7.82,Quantitative,Very Good,Good,0.0,0.0,0.0
Amanda Gatling,Caucasian,female,0.0,USA,26.0,94040,4,2.95,0.29,3.0,2.39,9.34,0.0,1.0,8.0,4.05,3.11,0.9,0.78,8.23,Quantitative,Ok,Good,0.0,0.0,0.0
Melinda Herring,Hispanic,female,1.0,USA,28.0,94542,4,3.33,0.45,5.0,3.26,11.03,0.0,41.0,4.0,1.01,1.2,-1.52,-1.15,5.6,Quantitative,Very Good,Good,0.0,1.0,0.0
Johnson Skiles,Other,male,1.0,USA,30.0,94588,4,3.64,0.69,8.5,4.97,15.280000000000001,0.0,36.0,1.0,-1.49,1.95,0.4,1.18,8.58,Engineering,Ok,Good,1.0,0.0,0.0
Charles Grey,Asian,male,2.0,USA,25.0,94539,4,3.57,0.69,2.5,3.42,11.81,0.0,25.0,4.5,1.25,2.57,0.79,0.41,7.38,Quantitative,Very Good,Good,0.0,0.0,0.0
William Rodriquez,Caucasian,male,2.0,USA,28.0,94043,4,3.2,0.47,5.0,3.43,11.620000000000001,0.0,5.0,5.0,1.36,2.3,0.07,0.01,6.99,Quantitative,None,Bad,0.0,0.0,0.0
Fidel Hisey,Caucasian,male,1.0,USA,29.0,94801,4,2.25,0.57,5.0,3.0,10.41,0.0,63.0,3.0,0.19,2.91,1.56,1.82,9.46,Sciences,None,Good,0.0,0.0,0.0
