Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Sex,Age,Education,Educational Prestige,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,sport_Club/Intramural,sport_NCAA/Professional,sport_None,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Job Tenure,Military Tenure,Employee Referrals,Arrest Record,Performance
Daniel Degiulio,3.53455534,26.93941947,2,3.176720629,3.883291368,0,6.100955148,1.173896602,0,27,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2.720336112,1.71707331,0,0,2
Thomas Patterson,3.534342695,27.73815405,2,1.95205333,4.278524523,0,8.549705285,0.816092857,0,24,2,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3.489541015,2.352409801,1,1,2
Catherine Craig,3.534124154,33.15558667,0,1.582778132,3.365395341,0,2.980371142,0.047587691,1,28,1,0,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2.436683466,1.546036288,0,0,2
Joshua Menter,3.534097431,51.64862219,0,2.390451461,3.382667472,0,6.731972561,0.381041014,0,39,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1.219648581,0.818922266,0,0,2
Frank Fields,3.533866871,39.00335338,0,2.692277979,3.125278402,0,2.308403026,-0.947966099,0,29,1,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2.566809231,1.928377008,0,1,-2
Douglas Morris,3.533520314,37.72769082,0,0.611788846,3.160032675,0,5.277274975,-0.486333963,0,28,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2.496655629,1.895092022,0,0,-1
Sidney Hu,3.533203538,33.67827883,2,4.536250969,3.751305198,0,2.269369236,-0.046559547,0,27,1,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2.415229922,1.635068674,1,1,2
Margaret Buffington,3.533039433,35.44946557,2,2.729968679,4.140853176,0,6.765979801,1.121578012,1,26,1,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.476660533,1.603308928,1,0,2
Frederick Baker,3.533017643,58.34362841,0,2.824861038,3.913782286,0,4.463650596,-0.361557992,0,30,1,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.06095601,0.975086022,0,1,0
Bennie Scott,3.532625648,76.82713367,2,2.541054744,3.959931567,0,4.617747061,0.903123888,0,30,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.191301624,0,0,2
Martha Church,3.532394213,37.96256383,0,1.99948414,3.561617361,0,5.198065739,-0.054844993,1,27,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2.409002273,1.838821781,0,0,1
Linda Short,3.532356709,61.93309866,0,1.953097333,3.732974768,0,7.255945995,0.092548095,1,27,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.900275083,0,0,1
Linda Wilkes,3.532293589,21.00109112,2,3.139700983,3.97018828,0,4.525249784,-0.166859497,1,22,1,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3.80635145,2.369859372,1,1,2
Refugio Alsberry,3.531644755,26.07776051,1,0.947908469,2.454180135,0,1.065819348,-0.742078481,0,30,1,2,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3.476664882,2.223267324,0,1,-2
Ronald Wallace,3.53139956,10,0,2.462764154,3.968615433,0,6.398550314,-0.414289331,0,23,1,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,6.313352195,3.648114757,0,0,2
Charles Sharp,3.531098109,10,1,2.878761309,3.904458673,0,3.903627864,-0.614224649,0,30,2,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5.621010001,3.089522148,0,0,2
Lonnie Schiefelbein,3.530768631,43.41862761,0,2.123547211,3.582216474,0,1.978750146,0.126922275,0,25,1,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1.923205108,1.448608394,0,0,2
Ana Williams,3.530764887,30.74448392,1,1.979028607,3.622415427,0,3.926497102,0.299578765,1,34,1,1,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,3.050961496,1.936718163,1,0,2
Harold Gibby,3.530515015,44.18967036,2,2.678906549,3.904646063,0,3.678937889,0.00756901,0,31,1,2,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1.814159364,1.63962973,1,0,2
Jack Barger,3.530451927,22.49670186,1,1.853572914,3.873871025,0,8.013150972,1.19245772,0,30,1,3,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3.590381456,2.264463671,0,0,2
David Dome,3.529998641,12.20851963,0,0.252005221,2.847880904,0,3.813753082,0.004109184,0,23,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4.404394081,2.678510026,0,1,1
Maria Brathwaite,3.529912544,63.0671966,0,2.162977041,2.836663809,0,4.998249262,-0.139806525,1,27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.30480478,0,1,-2
Paul Anders,3.529564862,62.31228483,2,1.820035197,3.40693526,0,3.57997976,0.623041096,0,29,1,1,0,0,2,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0.052701971,0.457768444,1,0,2
Monique Burkett,3.528920542,44.41453386,0,2.209787835,3.145264187,0,2.492612147,-1.250541312,1,29,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1.440809082,1.347586002,0,1,-2
Linda Holmes,3.528515046,10,0,1.968308123,2.871420874,0,2.340393443,-0.677233743,1,24,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,5.911874345,3.35716911,0,0,-2
Mary Casey,3.528138428,29.29087189,2,3.117020372,4.082205959,0,5.682719955,0.162088432,1,21,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2.888770985,1.958617669,0,0,2
Catherine Gardner,3.527576471,10.08932079,2,3.841801452,4.160953108,0,5.104925211,1.018855833,1,29,0,0,0,0,2,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,4.644804117,2.926582329,0,1,2
Sheldon Thames,3.527526004,32.36693792,0,1.988152686,3.639886067,0,7.976171853,0.895768698,0,21,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3.289715294,2.046141258,0,0,2
Cecil Limoli,3.526751153,35.71515222,0,0.759525726,2.617147043,0,1.337686869,-0.408482159,0,22,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2.711118193,1.776683288,0,0,-2
Richard Mcclung,3.526608558,54.72105546,1,1.166677881,3.191420944,0,4.868264042,-0.212533218,0,29,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.07225382,0.841168696,0,0,-1
Andrew Coursey,3.526338041,2.789660368,2,2.850378442,4.445689598,0,4.466522583,-0.418612079,0,35,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,5.641470194,3.174559282,1,0,2
John Buckley,3.526240299,19.37131945,2,2.003132378,4.119075967,0,7.253480415,0.547487359,0,22,1,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4.082251558,2.609963771,1,0,2
Jose Tindell,3.526147766,49.42449589,2,3.435844805,3.919562693,0,1.776271172,0.198179838,0,23,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1.550628864,1.286472409,1,0,2
William Reeves,3.526027351,46.65239568,0,2.836590647,3.325993739,0,5.471655853,-0.45190283,0,22,1,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1.841441285,1.51220195,0,0,1
Norman Morales,3.525739163,71.82475028,0,2.868532201,2.771584757,0,0.166204875,-0.080971208,0,22,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0.142925207,0.552016713,0,0,1
Patricia Hollowell,3.525605869,22.01530074,0,1.882361927,3.444977199,0,4.034375025,0.667766937,1,24,1,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2.710173714,1.534081677,0,1,2
Troy Thomas,3.524032924,46.51525238,1,3.176751702,4.179597141,0,5.187675921,0.993199371,0,25,1,2,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1.778658556,1.148824343,1,0,2
Henry Chiariello,3.524021155,25.16139259,0,1.121725033,4.290844947,0,9.976823366,1.389972632,0,31,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,3.676970119,2.364629491,0,0,2
George Smith,3.523936993,58.08682332,1,2.221008865,3.498752523,0,2.023306901,-0.385005553,0,31,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.05967638,0.452577265,0,0,2
Nicole Davis,3.523909083,33.23490354,0,0.610924697,2.964724273,0,7.635802069,0.2511565,1,24,1,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2.758345525,1.932126884,0,0,1
Alfredo Lyons,3.523661782,34.29710327,1,1.8591493,2.625206285,0,0.072044616,-1.192800083,0,26,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2.501791112,1.706629625,0,0,-2
Angela Ouellette,3.52361033,10,0,2.674001421,3.411479083,0,4.403125255,0.957087141,1,26,1,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,6.312532705,3.60726629,0,0,2
Michael Cummings,3.523071758,16.41898009,0,3.68263846,3.910870644,0,3.031254132,0.100122667,0,23,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3.796231786,2.353572946,0,0,2
Vernon Drewett,3.522994079,16.87750168,2,1.448993289,3.858787289,0,4.166891411,-0.714758589,0,32,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4.326581953,2.339350557,1,0,2
Marcella Ellis,3.522659583,8.800087021,2,3.429135091,3.812635756,1,6.229522784,0.235466495,1,23,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4.556120195,2.616343949,1,0,2
Kristina Okeefe,3.52216847,31.13475792,2,1.931576676,3.872588933,0,6.738877014,0.735188373,1,26,1,1,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2.925522962,2.116582627,1,0,2
Charles Patterson,3.521484014,75.21467393,0,1.676699523,3.053867832,0,5.511499512,0.55254707,0,21,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.008439204,0,0,1
Ronald Sherman,3.521103568,40.68485838,1,3.153430468,3.449107469,0,1.999829858,0.49165523,0,25,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2.068461924,1.516429761,0,0,2
Luis Lajoie,3.520922833,58.99315465,2,2.198572165,2.904598299,0,3.252597062,-1.136240223,0,25,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.288558068,0.67659866,0,1,-2
Timothy Lively,3.520010411,17.68482124,0,2.948346333,3.047442567,0,2.483737456,-0.499787156,0,22,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4.143392503,2.556352715,0,0,-1
David Tinkler,3.519959684,32.78956154,0,2.15917674,3.028744661,0,1.780943219,0.414206942,0,25,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2.351455075,1.433109841,0,0,1
Delia Faunce,3.519679061,10,0,2.325234974,4.350927727,0,8.848981709,0.109964975,1,22,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,5.677158271,3.316035112,1,1,2
Alvin Lehman,3.519240187,19.3689122,1,2.331538003,3.331833398,0,4.47123879,-0.089815371,0,22,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3.908137494,2.320444704,0,0,-1
Raymond Joiner,3.51913131,48.6662635,0,1.917930436,2.56306738,0,1.953100724,0.140634283,0,29,1,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1.310330299,1.209467289,1,0,-1
Lacy Marquez,3.518965546,54.86442164,2,2.6325243,3.19943267,0,-0.415963806,0.102855682,0,25,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1.066727665,1.438656288,1,0,2
Travis Morales,3.518904579,10,0,2.287990439,3.967757823,0,1.604940166,-0.452284335,0,26,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,5.793759729,3.319837194,0,1,2
Michael Tucker,3.51878104,30.65122533,0,0.385089933,2.433429606,0,3.39965162,0.237517759,0,35,1,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3.058375503,1.991430928,0,0,-2
Kevin Batson,3.518542034,27.82258043,0,2.31062128,3.950734244,0,7.955280135,0.678258111,0,24,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2.935451907,1.882688687,0,0,2
William Grace,3.518437895,44.76392643,0,3.121350206,3.619160261,0,3.502088831,-0.340268016,0,29,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1.788522911,1.526674975,0,0,0
Janiece Brown,3.518417928,22.55279392,1,3.375881578,4.754998831,0,5.769995659,1.543370132,1,24,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3.318366841,1.977290603,1,0,2
Genevie Kelley,3.518233252,23.75686627,2,1.234647558,2.88659823,0,3.20092851,0.878726676,1,22,2,2,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3.260530767,2.103272276,1,0,2
Cornelia Gutierrez,3.518206725,70.55823371,2,0.940378514,3.643865299,0,7.031649501,0.094093643,1,26,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0.035753697,0.747278123,1,0,2
Beatrice Garrett,3.518132131,44.51870287,2,1.441299405,4.086610715,0,4.984774155,0.487207651,1,26,1,2,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2.345096108,1.661599955,1,0,2
Howard Montgomery,3.518079617,20.7786829,2,2.731341421,4.074819975,0,4.587088366,-0.478278769,0,24,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3.802931484,2.242271357,1,0,2
Alexander Green,3.516191722,67.37015263,0,1.931435598,2.294662118,0,-1.125963526,-1.393370561,0,21,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0.22197509,0.986824337,0,0,-2
Deborah Lucas,3.515989495,47.12156263,0,1.297563724,3.150185546,0,5.390085384,-0.553237805,1,28,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1.010657967,0.971073555,0,0,0
Clarence Leblanc,3.515945773,35.76955402,0,1.878689529,2.009977464,0,2.056020718,0.54604681,0,31,1,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2.728320171,1.959105097,0,0,-2
Frank Dehart,3.515452271,50.29841236,2,3.547852992,3.708936205,0,4.872883009,0.397877933,0,23,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1.219088775,1.311873258,1,0,2
Robert Davis,3.514967315,43.42366275,0,0.433501771,3.138863019,0,3.695382371,-0.89916417,0,22,2,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2.524044171,1.67928916,0,0,1
Jeremy Cianciolo,3.514792677,47.04698535,0,3.207890489,4.195607753,0,5.483356119,-0.303780724,0,22,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1.83374364,1.385864598,0,0,2
Joseph Barth,3.513427084,62.25459653,2,1.640223063,4.029835082,0,6.776176515,0.682277185,0,28,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.070625339,0.524522908,1,0,2
Kerry Durbin,3.513038306,10,1,0.973083988,3.47090125,0,5.630197635,0.053487207,0,29,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,5.177204221,2.942892083,1,0,2
Joshua Carmichael,3.51274989,10,0,2.684480598,4.520818483,0,6.022886331,0.264578126,0,24,2,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,7.327633096,3.937624179,0,0,2
Linda Nye,3.512711795,16.09907304,1,3.019274772,3.804384523,0,4.268356049,0.906345105,1,25,2,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4.008175466,2.564022402,0,0,2
David Mahajan,3.512370437,33.34977753,2,3.570979144,5.698442172,0,11.94906609,1.223966791,0,25,1,1,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2.619789331,1.598129135,1,0,2
Wilmer Kingsley,3.512339009,10,2,2.147161033,4.181081526,0,7.881601124,0.695920484,0,33,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7.633573419,4.188791574,1,0,2
Alan Wilkins,3.511936847,26.56734359,2,2.69976808,4.425806564,0,5.773896214,0.682339584,0,26,1,1,0,0,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3.620075705,2.313721808,1,0,2
Ricardo Cole,3.511776459,45.36712604,1,1.729085988,3.97326062,0,5.31605968,-0.51283856,0,22,2,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1.288496612,1.318709198,1,0,2
Stephen Tebow,3.511589427,4.688464515,1,2.668908947,3.822390697,0,8.237179736,0.597819563,0,28,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,4.798372687,2.695551221,0,0,2
Robert Poole,3.511442982,37.05072507,0,2.845324357,3.553534845,0,4.635946428,0.154670339,0,28,1,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2.8554213,1.569382072,0,0,2
Lee Belser,3.511410424,14.58468767,2,2.166405831,4.284423461,0,6.178982471,-0.165118926,1,32,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3.774161797,2.446306023,1,0,2
Maggie Bunnell,3.511190078,10,0,2.614777338,3.412695943,0,4.18160279,-0.513038924,1,21,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5.763426863,3.473315926,0,0,1
Alice Cooper,3.51075716,44.69071005,2,2.06391408,3.608010443,0,8.394960818,1.357221613,1,30,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2.013027462,1.70701954,1,0,2
Leslie Boudreaux,3.509451897,37.48199273,0,1.090318325,3.67183926,0,7.079144967,0.911074784,1,25,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2.218056512,1.592853272,0,1,2
Christy Tate,3.509436979,50.37909126,0,3.800008758,3.934149988,0,4.617919737,1.003483027,1,29,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1.00995823,0.886393282,1,0,2
Stacy Brown,3.509218179,6.629100094,1,1.214144924,3.509003764,0,4.929808152,0.651770886,1,24,2,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4.97684627,2.835792825,1,1,2
Jose Sanches,3.50880503,62.46436436,0,0.671300071,2.736969172,0,4.394929222,-0.469579654,0,29,1,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0.408080776,0.867008867,0,0,-2
John Rife,3.507939689,80.04663921,2,1.76722453,3.551447995,0,5.03168012,0.795855396,0,25,2,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2
Robert Armstrong,3.507793783,71.89838558,0,0.240537034,3.187359746,0,6.610999412,-0.839592239,0,32,1,3,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.265906898,0,0,0
Thomas Moss,3.506901636,39.84680025,0,1.6114529,3.470748126,0,1.832873555,-0.741098363,0,25,2,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2.368687016,1.39925554,0,0,1
Royce Lange,3.506776491,26.34495281,2,1.595026692,3.883677694,0,5.571161894,0.279374576,0,23,2,1,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3.349236277,2.152475962,1,0,2
Jeremiah Schwipps,3.506603921,9.236764107,0,1.043766897,2.763810438,0,1.73950453,-0.115515192,0,28,2,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,5.09906692,2.878807235,0,0,1
Bonnie Clark,3.506536892,42.65817657,0,2.504789082,3.259506135,0,1.642250427,-0.15154958,1,23,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.38628311,1.709621552,0,0,0
Jonathan Medcalf,3.506346962,8.425444484,2,2.173945901,4.225645146,0,10.83005544,2.083060051,0,30,1,2,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,4.871600203,3.040632804,1,1,2
Alice Yankey,3.506184572,27.75139582,2,2.611756247,3.787656485,0,4.205141936,-0.254099966,1,29,1,1,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,3.295159397,2.319709001,1,0,2
Michael Sharpe,3.505711672,56.12700662,2,3.239673485,4.008887267,0,7.160855433,0.866469092,0,26,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1.569676818,1.329169747,1,1,2
Carol Turner,3.505672402,10,2,2.05691444,4.611150856,0,7.629030162,0.920797918,1,27,2,1,0,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,5.49041035,3.067246389,1,0,2
Emma Hendricks,3.505189931,28.40951471,2,2.819960668,4.144176859,0,4.935777095,-0.39335232,1,29,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,3.401861369,2.382843539,1,0,2
Joseph Lohmann,3.505093588,24.94184921,1,1.800287977,4.031252317,0,5.460344774,-0.670452463,0,26,2,2,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2.856657951,2.109832434,0,0,2
Gerald Sawyer,3.504146137,81.68699181,2,1.492271934,3.849233185,0,8.12959852,0.718822856,0,24,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.124357191,1,0,2
Phillis Cox,3.503942865,9.085129024,2,1.02993408,3.747187965,0,4.681166344,0.514512069,1,34,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4.711962644,2.706386158,1,0,2
Stephanie Nelson,3.503794483,38.94008834,0,2.807104412,3.466208717,0,5.803733111,0.110228163,1,26,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2.056704627,1.367168552,0,0,1
Andrew Williams,3.502768075,1.258306411,2,1.257528452,3.467963361,0,2.310140671,0.002313156,0,35,1,2,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,5.908602219,3.572523647,1,0,2
James Puccia,3.502499024,22.57654707,0,1.926750644,2.932982649,0,3.640757677,1.084210245,0,22,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3.740440724,2.259242645,0,0,2
Julie Smith,3.501921836,15.04806596,1,2.822829054,4.015370021,0,7.45743443,0.968092711,1,24,1,0,0,1,2,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.883399993,2.587600241,0,0,2
Caroline Hall,3.501753862,34.01911078,2,2.141693617,3.996446366,0,6.360681241,1.233859604,1,35,2,2,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2.899894179,2.177784538,1,0,2
Kurt Taber,3.501462184,68.14441034,2,1.848493821,4.123635039,0,5.964710066,0.273171813,0,28,1,1,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0.892620975,1.441980468,1,0,2
Natalie Brackett,3.501372562,48.13128152,0,1.950865856,3.284890239,0,5.342657654,-0.272746187,1,27,2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1.685057375,1.455651326,0,0,1
Stephine Lee,3.500980649,22.57518471,2,2.153041299,4.1346036,0,4.318767947,0.545224292,1,31,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,3.000908552,1.868008407,1,0,2
Jason Mcadams,3.500896658,19.41506695,0,2.667241237,3.408599998,0,4.168812193,-0.080133078,0,29,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3.718491322,2.380689938,0,0,1
Carol Beck,3.500570866,10,1,1.315597536,2.672500371,0,0.531894928,-0.044710614,1,23,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,5.484652306,3.174074585,0,0,-1
Shanae Maldonado,3.49971143,82.51877075,2,1.528262754,4.024865622,0,7.71868798,1.290492155,1,32,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2
