,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Record,LinkedIn Score,Responsible Social Media Use,HireVue Score
746,Tiffany Culverhouse,2.863431718,22.40449477,2,3,0,0,4,0.432027772,0,1,25,United States,1,Engineering,1,None,0,0,1,1,1
747,Harriet Mccray,3.535493323,33.11342343,1,1,0,0,4,0.915803153,1,1,23,United States,1,Quantitative,3,Club/Intramural,0,0,1,1,2
748,Douglas Titus,3.979313655,4.922217171,0,3,0,0,3,0.289150998,0,0,22,United States,2,Quantitative,3,Club/Intramural,0,0,1,1,2
749,Brittany Nichols,4.044517424,16.71649837,1,0,0,0,3,0.44181296,2,1,22,United States,1,Engineering,2,None,0,0,1,1,2
750,Marilyn Franty,2.548630354,40.38361632,0,1,0,0,1,0.482421464,0,1,32,India,1,Humanities,1,Club/Intramural,0,0,1,1,1
751,Martin Lopez,2.169706825,31.12769456,2,3,0,0,3,0.427340495,1,0,31,United States,1,Quantitative,1,NCAA/Professional,1,1,1,1,1
752,Clinton Nguyen,3.314516341,57.36712663,1,1,0,0,2,0.516173547,0,0,35,United States,1,Quantitative,1,None,0,0,1,1,1
753,Beverly Watkins,2.984515228,19.74796627,1,0,0,0,1,0.143887404,2,1,31,United States,2,Humanities,1,Club/Intramural,0,0,2,1,2
754,Paul Gibbs,3.039727492,25.09278884,0,4,0,0,3,0.317612866,0,0,28,Mexico,2,Quantitative,2,None,0,0,1,1,2
755,Percy Singer,3.595185252,87.75584129,2,1,0,0,2,0.49071323,0,0,23,United States,1,Engineering,1,Club/Intramural,0,0,1,1,2
756,Doris Haverland,2.778996173,13.76179835,2,1,0,0,5,0.682974948,0,1,27,United States,1,Humanities,3,None,0,0,0,1,1
757,Robert Brouillard,3.246237543,62.01586455,2,0,0,0,2,0.278965383,2,0,23,United States,1,Humanities,2,Club/Intramural,0,0,0,1,1
758,Gladys Gillon,3.854058567,46.39168565,1,2,0,0,4,0.433263939,0,1,22,United States,2,Sciences,2,None,0,0,0,1,1
759,Sean Odell,3.080339909,84.38089239,0,4,0,0,1,0.714801664,0,0,29,China,2,Engineering,1,None,0,0,0,1,1
760,Caroline Mai,3.094158333,98.05141582,1,3,0,0,4,0.64662914,0,1,28,United States,1,Engineering,2,Club/Intramural,0,0,1,1,0
761,Robert Pittman,2.69986087,10.07972361,0,4,0,0,5,0.391691232,4,0,24,United States,1,Engineering,2,None,0,0,1,1,1
762,William Young,3.320694314,61.77612434,1,3,0,0,0,0.460995189,0,0,22,United States,1,Engineering,2,NCAA/Professional,0,0,0,1,2
763,Anthony Brubaker,3.35793086,25.03596331,2,3,0,0,3,0.637406654,0,0,26,United States,1,Humanities,2,Club/Intramural,1,1,2,1,1
764,Donna Hinton,3.481502845,31.01548282,1,0,0,0,3,0.259887747,0,1,27,India,1,Humanities,2,None,0,0,1,1,0
765,Lynette Pullen,2.74169006,28.34063481,2,3,0,0,1,0.764808258,0,1,29,United States,1,Sciences,1,None,0,0,1,1,2
766,Melvin Jones,2.602422118,93.31238316,0,0,0,0,3,0.363674959,0,0,34,United States,1,Humanities,2,None,0,0,1,1,1
767,Elizabeth Ong,3.750717711,44.66513271,0,3,0,0,5,0.173364408,0,1,26,United States,1,Humanities,1,None,0,0,0,1,0
768,Lisa Long,2.946427864,25.65412722,1,4,0,0,2,0.724643096,0,1,21,United States,1,Humanities,3,Club/Intramural,0,0,1,1,0
769,Carl Apple,3.195772232,6.174467369,1,2,0,0,4,0.404558164,0,0,28,United States,1,Engineering,2,NCAA/Professional,0,0,0,1,0
770,Stanley Mccartt,3.600111497,105.0538341,0,0,0,0,4,0.539695575,0,0,24,United States,1,Quantitative,2,NCAA/Professional,0,0,1,1,2
771,Pierre Crowe,3.130955921,16.08948733,1,1,0,0,4,0.134809329,0,0,34,United States,1,Quantitative,2,Club/Intramural,0,0,1,1,1
772,Gerald Goldsmith,3.012952895,1.605334671,0,4,0,0,2,0.417360819,0,0,34,United States,1,Sciences,2,None,0,0,1,1,0
773,Lela Qualls,2.839673865,0.517014478,2,0,0,0,3,0.402190364,0,1,25,United States,1,Humanities,2,None,0,0,2,1,1
774,Lavern Hebert,3.381868553,14.01010737,2,2,0,0,2,0.076500705,1,0,25,China,1,Engineering,2,NCAA/Professional,1,1,1,1,1
775,Fredrick Rufenacht,2.606779746,54.58936622,1,2,0,0,5,0.547991257,0,0,26,United States,1,Sciences,3,None,0,0,1,1,2
776,Jesse Thompson,3.045324021,6.733394484,1,2,0,0,4,0.746789921,2,0,26,China,1,Sciences,2,None,0,0,2,1,1
777,Chandra Johnson,3.596270965,48.62511928,1,3,0,0,3,0.316456395,0,1,30,United States,2,Quantitative,2,Club/Intramural,0,0,1,1,2
778,Amanda Saddler,3.065024948,28.65317173,0,1,0,0,2,0.244183715,0,1,33,Canada,2,Engineering,3,Club/Intramural,0,0,1,1,0
779,Matthew Whitlock,3.036757768,51.7608376,2,2,0,0,2,0.417057512,0,0,34,United States,1,Quantitative,2,Club/Intramural,0,0,1,1,2
780,John Thomas,2.73945585,40.02471377,1,2,0,0,2,0.449946284,0,0,28,United States,2,Sciences,2,None,0,0,0,1,2
781,Don Villatora,3.309861409,5.645272594,1,0,0,0,5,0.160266234,0,0,34,United States,1,Humanities,2,NCAA/Professional,0,0,1,1,0
782,Mandi Bittle,3.383972043,49.14856522,2,2,0,0,4,0.578137093,0,1,22,India,2,Humanities,1,None,0,0,2,1,2
783,Frank Jones,2.935123959,78.97312798,2,0,0,0,2,0.70144135,0,0,31,United States,1,Sciences,1,NCAA/Professional,0,0,2,1,0
784,Cathy Gassaway,3.299036085,62.11778887,2,3,0,0,3,0.381315896,0,1,22,United States,1,Quantitative,1,None,0,0,0,1,1
785,Danielle Ahn,3.359404404,47.97457354,0,1,0,0,3,1.076443725,2,1,22,United States,1,Quantitative,2,Club/Intramural,0,0,1,1,0
786,Nereida Bussmann,2.425408004,33.67538781,2,2,0,0,3,0.196290929,0,1,25,United States,1,Quantitative,2,Club/Intramural,1,1,0,1,2
787,Helen Jones,3.680904788,99.17153037,0,2,0,0,5,0.504062257,3,1,33,United States,1,Engineering,1,NCAA/Professional,1,1,1,1,0
788,Cindy Killay,3.758471307,40.32819577,1,2,0,0,2,0.68642577,1,1,22,United States,1,Quantitative,1,None,0,0,1,1,0
789,Sean Mutter,3.178711136,19.1608195,2,0,0,0,3,0.335011817,0,0,24,United States,1,Humanities,1,None,0,0,2,1,1
790,Robert Walters,4.300114511,38.39174949,1,1,0,0,4,0.825947131,0,0,25,United States,1,Humanities,3,None,0,0,1,1,1
791,Tracy Pliml,2.778518085,29.69589419,1,0,0,0,2,0.18305498,0,1,23,United States,2,Humanities,2,Club/Intramural,0,0,2,1,1
792,Ernesto Parker,3.500020835,30.32026742,2,4,0,0,5,0.318462675,2,0,26,China,1,Humanities,2,NCAA/Professional,0,0,1,1,1
793,John Shuman,3.43835603,78.10991351,2,3,0,0,4,0.657095146,0,0,33,United States,1,Sciences,1,None,0,0,1,1,2
794,Roger Earles,2.711905576,51.32392876,2,3,0,0,5,0.79341153,0,0,28,United States,1,Engineering,1,Club/Intramural,0,0,0,1,1
795,Margaret Spiller,3.135739499,84.05202965,1,0,0,0,2,0.556313653,0,1,28,China,1,Sciences,2,NCAA/Professional,0,0,1,1,0
796,Michael Caldwell,2.629962161,10.86840698,2,3,0,0,2,0.077615572,0,0,30,United States,1,Humanities,2,Club/Intramural,1,1,1,1,2
797,Steven Todd,2.610796015,33.63948804,0,1,0,0,2,1.00975651,1,0,31,United States,2,Humanities,2,Club/Intramural,0,0,0,1,2
798,Tyrone Phillips,1.893416114,52.00520388,1,0,0,0,4,0.384974499,2,0,31,United States,1,Quantitative,3,None,0,0,1,1,1
799,Everett Brick,2.658690367,44.38999835,1,4,0,0,4,0.271146156,0,0,25,China,1,Humanities,1,None,0,0,0,1,1
800,Matthew Moreno,3.07421821,53.84684237,2,3,0,0,5,0.684979442,0,0,23,United States,2,Quantitative,2,Club/Intramural,0,0,1,1,1
801,Crystal Smith,3.488945695,34.57195265,2,1,0,0,3,0.523544106,0,1,30,United States,0,None,0,None,0,0,1,1,2
802,Kelly Gonzalez,2.836794042,10.30908402,0,3,0,0,2,0.34254979,0,0,32,United States,1,Humanities,2,Club/Intramural,0,0,0,1,1
803,Helena Dupuis,2.164158187,112.3588429,2,0,0,0,3,0.677237472,1,1,24,United States,1,Humanities,2,None,0,0,1,1,0
804,Agnes Wang,3.128716485,44.51563774,0,0,0,0,2,0.846614402,1,1,28,United States,1,Sciences,2,None,0,0,1,1,0
805,Jimmy Burson,3.400155666,14.76975926,0,2,0,0,3,0.926747168,0,0,23,United States,1,Humanities,1,Club/Intramural,0,0,0,1,2
806,Ruth Parks,2.634198509,13.2986705,2,2,0,0,1,0.743347607,0,1,22,Mexico,2,Engineering,3,None,0,0,0,1,0
807,Alfonso Schermerhorn,3.505643998,89.75489731,2,0,0,0,4,0.279246983,1,0,29,China,1,Quantitative,2,None,0,0,0,1,0
808,Tracy Layland,2.504792589,19.25769973,0,3,0,0,2,0.255235309,0,1,29,United States,2,Quantitative,2,None,0,0,1,1,0
809,Robert Erling,3.177817687,11.58430418,1,2,0,0,4,0.740714227,0,0,28,Canada,1,Engineering,1,Club/Intramural,0,0,0,1,2
810,Brenda Owings,3.272294133,4.959042543,2,0,0,0,1,0.131910806,1,1,23,United States,1,Engineering,1,Club/Intramural,0,0,0,1,2
811,Terry Lilly,3.033775582,32.21652668,0,3,0,0,4,0.897631195,0,0,30,United States,1,Engineering,2,None,0,0,1,1,1
812,Shawna Riley,3.408798225,84.87980677,0,1,0,0,1,0.706853056,0,1,24,United States,1,Humanities,2,None,0,0,1,1,1
813,Martin Loesch,2.738961244,49.33189915,0,1,0,0,1,0.536451701,0,0,23,United States,1,Humanities,2,None,0,0,0,1,2
814,Michael Gilling,2.267589775,46.93905169,2,1,0,0,4,0.922696824,1,0,26,United States,2,Humanities,2,None,0,0,0,1,1
815,Santa Anderson,3.775065521,94.64113699,2,3,0,0,4,1.331673963,0,1,24,United States,2,Engineering,2,None,0,0,0,1,0
816,Bernard Delarosa,3.278173489,29.86374921,1,2,0,0,3,0.225179792,1,0,29,United States,1,Humanities,2,Club/Intramural,0,0,0,1,1
817,James Wilcox,3.976105778,0.790104049,2,4,0,0,4,0.602401477,0,0,35,United States,1,Engineering,1,None,0,0,2,1,2
818,Rebecca Perry,3.267026034,76.1260035,2,4,0,0,3,0.843025707,1,1,25,United States,2,Quantitative,2,None,0,0,0,1,0
819,Dean Bingham,2.741594934,51.93425795,0,4,0,0,3,0.552562045,0,0,26,United States,2,Humanities,1,None,0,0,1,1,1
820,Ida Martin,3.945831586,36.48693532,1,1,0,0,1,0.820568297,0,1,27,United States,1,Sciences,1,Club/Intramural,0,0,0,1,1
821,Katie Jackson,3.847629528,53.30877065,0,2,0,0,5,0.817433645,0,1,36,United States,1,Engineering,2,None,0,0,1,1,1
822,Kathlene Davis,3.462643287,42.50221677,2,2,0,0,5,0.541204543,0,1,24,United States,1,Humanities,2,Club/Intramural,0,0,1,1,0
823,Diana Gonzalez,3.472388247,37.47544795,0,1,0,0,0,0.636809089,0,1,23,United States,2,Humanities,1,Club/Intramural,0,0,2,1,1
824,Charmaine Bowden,2.887894191,73.42818853,0,0,0,0,2,0.485172677,2,1,26,United States,1,Humanities,3,None,0,0,1,1,1
825,Dale Fearn,2.951022204,20.19217679,2,1,0,0,3,0.808109271,1,0,27,United States,2,Humanities,2,Club/Intramural,0,0,1,1,1
826,Edward Evans,2.791578546,31.21093695,0,2,0,0,3,0.689533497,0,0,24,United States,1,Humanities,2,Club/Intramural,1,1,1,1,1
827,Mary Gladney,3.422395435,92.059608,0,4,0,0,3,0.655718936,4,1,23,United States,1,Quantitative,2,None,0,0,0,1,1
828,Douglas Heath,3.547918388,76.49586611,0,0,0,0,1,0.503729876,2,0,30,United States,1,Quantitative,1,None,0,0,0,1,0
829,Alfred Johnson,2.927893241,53.89995124,2,4,0,0,6,0.387358999,0,0,23,United States,2,Quantitative,1,None,0,0,1,1,0
830,Mack Plaisted,3.80542059,56.16130935,2,1,0,0,1,0.553524244,0,0,25,United States,1,Quantitative,3,None,0,0,0,1,2
831,Stanley Hopwood,3.409056836,103.4648537,1,3,0,0,5,0.181005219,3,0,25,United States,2,Sciences,1,None,0,0,2,1,1
832,Martha Melendez,2.862182173,51.652517,1,3,0,0,4,0.438641274,0,1,22,United States,1,Engineering,2,Club/Intramural,0,0,1,1,2
833,Ora Stump,2.922817306,13.88815544,1,2,0,0,3,0.444001235,0,1,26,United States,1,Quantitative,3,None,0,0,1,1,2
834,Robert Kells,3.336941552,35.3706141,0,4,0,0,1,0.462457456,1,0,32,United States,1,Engineering,1,None,0,0,0,1,2
835,Helen Magnuson,3.063175096,115.7773233,1,2,0,0,4,0.57252429,3,1,24,United States,2,Humanities,1,None,0,0,1,1,1
836,Raymond Joiner,2.694810884,13.95394487,2,4,0,0,1,0.416810471,3,0,29,United States,1,Humanities,1,None,0,0,2,1,1
837,Wesley Vincent,2.225835557,18.41076092,0,0,0,0,0,0.089631451,0,0,31,United States,1,Humanities,1,Club/Intramural,0,0,1,1,1
838,Edward Trundle,3.423943948,30.92135908,2,2,0,0,3,0.55057037,1,0,29,United States,1,Quantitative,2,None,1,1,1,1,0
839,Melanie Clark,3.408923024,66.41605281,1,0,0,0,1,0.691107894,4,1,27,China,2,Quantitative,1,None,0,0,1,1,1
840,Rosie Weiss,2.727560618,30.54217418,2,4,0,0,3,0.168917215,0,1,24,United States,1,Humanities,1,None,0,0,1,1,1
841,John Waggoner,2.730553878,60.23177035,1,2,0,0,5,0.732193165,0,0,26,United States,1,Humanities,2,None,0,0,1,1,0
842,Raymond Henderson,3.27575261,6.331255456,0,4,0,0,4,0.004238322,0,0,21,United States,1,Engineering,2,None,0,0,0,1,2
843,George Dickinson,3.059011458,44.60256754,2,1,0,0,1,0.783226873,4,0,26,United States,1,Quantitative,2,Club/Intramural,0,0,0,1,1
844,James Colman,3.875682503,21.30084902,0,0,0,0,3,0.498433078,1,0,29,United States,1,Humanities,3,None,0,0,0,1,1
845,Roberta Horne,3.492034774,96.42335208,2,3,0,0,4,0.780192688,0,1,28,United States,0,None,0,None,0,0,2,1,2
846,Miguel Fissel,3.206495345,19.39751305,2,2,1,0,2,0.776800746,1,0,22,United States,1,Quantitative,2,None,0,0,1,1,0
847,Jack Goh,3.660441286,77.86858552,2,1,0,0,4,0.765529536,0,0,25,United States,2,Engineering,2,None,0,0,0,1,0
848,Willie Mcdaniel,3.28768422,7.576393174,0,1,0,0,1,0.492240557,0,1,25,United States,1,Engineering,2,None,0,0,0,1,1
849,Wm Bayliff,3.053434887,21.2640596,2,1,0,0,5,0.832708795,0,0,21,United States,1,Humanities,2,None,0,0,0,1,1
850,Sheri Dewitt,2.434962025,23.50628704,2,3,0,0,4,0.558992201,2,1,28,United States,1,Engineering,2,None,0,0,1,1,0
851,Jesus Sharon,2.829614267,48.46270347,1,4,0,0,5,0.413464759,0,0,23,United States,2,Quantitative,1,Club/Intramural,0,0,0,1,1
852,Thomas Adkins,4.187820024,22.63741404,2,4,0,0,2,0.453948606,0,0,23,India,1,Quantitative,1,Club/Intramural,0,0,0,1,2
853,Mitchell Gonzalez,2.954165945,18.71923671,1,1,0,0,6,0.499804445,0,0,30,United States,2,Engineering,2,None,0,0,1,1,2
854,Donald Goodwin,3.361441416,82.78264599,0,0,0,0,2,0.411572166,2,0,25,United States,2,Sciences,1,Club/Intramural,1,1,1,1,2
855,Albert Ward,3.602837703,14.2869219,0,1,0,0,6,0.349264383,0,0,28,China,1,Humanities,1,None,0,0,0,1,0
856,Lucille Ring,3.969938017,76.43330233,0,3,0,0,2,0.364610017,4,1,27,United States,1,Humanities,2,Club/Intramural,0,0,1,1,0
857,Brian Stallings,3.147304064,97.37387762,2,0,0,0,4,0.626433082,0,0,27,United States,1,Humanities,2,None,0,0,0,1,2
858,Brenda Bowman,2.352257851,44.7256878,1,2,0,0,2,0.127930748,0,1,36,United States,0,None,0,None,0,0,1,1,0
859,Harriett Rattan,3.003814214,8.491392756,1,3,0,0,4,0.769720175,2,1,25,United States,1,Engineering,3,Club/Intramural,0,0,0,1,0
860,Gilbert Solis,3.796825412,39.61259603,1,0,0,0,4,0.264615636,0,0,38,United States,2,Engineering,2,None,0,0,2,1,1
861,Ronald Porter,3.195491053,9.393039822,0,1,0,0,4,1.044439798,0,0,29,United States,1,Quantitative,1,None,0,0,1,1,0
862,Lamar Cabrera,3.122414171,41.2231959,1,1,0,0,5,0.543383619,2,0,25,United States,1,Quantitative,1,None,1,1,1,1,0
863,David Morgan,3.160987052,58.25720353,1,1,0,0,2,0.557204045,0,0,29,India,2,Humanities,2,Club/Intramural,0,0,1,1,0
864,Curtis Hall,3.46529335,20.33376387,2,3,0,0,2,0.578917117,0,0,26,United States,1,Humanities,1,Club/Intramural,0,0,1,1,0
865,Cecil Dukes,2.923233458,65.34650374,2,1,0,0,5,0.495475226,4,0,26,United States,1,Engineering,3,None,0,0,1,1,0
866,Jean Stock,3.27044888,57.64385421,1,0,0,0,2,0.088988362,0,0,32,United States,1,Humanities,2,Club/Intramural,0,0,1,1,0
867,Robert Williams,2.615805542,33.56843624,1,2,0,0,1,0.659416363,2,0,34,United States,1,Engineering,1,Club/Intramural,0,0,2,1,0
868,Keith Rosenquist,3.33196772,30.22220096,2,4,0,0,3,0.318786752,2,0,29,United States,1,Humanities,2,Club/Intramural,0,0,1,1,0
869,Galen Pinckney,3.111855746,49.463226,0,0,0,0,4,0.804954302,0,0,24,United States,1,Quantitative,2,Club/Intramural,0,0,0,1,2
870,Betty Kuntz,3.203427381,31.44701785,2,4,0,0,2,0.727876375,0,1,26,United States,1,Quantitative,1,None,0,0,2,1,0
871,William Nicholson,2.354701615,71.11818177,2,0,0,0,2,0.313260979,3,0,28,Canada,1,Quantitative,1,Club/Intramural,1,1,1,1,2
872,Jane Jackson,3.311164633,48.65225729,0,3,0,0,3,0.501044663,0,1,31,United States,2,Quantitative,3,None,0,0,1,1,2
873,Thomas Garcia,2.995242029,86.39205111,1,0,0,0,5,0.223124463,0,0,23,United States,2,Quantitative,1,None,0,0,0,1,0
874,Carl Bailey,3.576185103,10.59348346,2,2,0,0,4,0.603313303,0,0,25,United States,1,Humanities,2,None,0,0,2,1,2
875,Billie Lambert,3.764905583,30.94837093,0,4,0,0,2,0.428936314,1,1,27,United States,2,Engineering,2,Club/Intramural,0,0,0,1,2
876,Billy Myatt,4.18251584,15.49343684,2,0,0,0,3,0.531589328,2,0,28,United States,1,Engineering,2,Club/Intramural,1,1,2,1,2
877,Thomas Harrell,2.8048182,62.56962017,1,1,0,0,1,0.563622553,0,0,26,Australia,1,Quantitative,3,Club/Intramural,0,0,2,1,1
878,Lucienne Desroches,2.121075385,77.7841929,0,3,0,0,3,0.204585236,0,1,25,United States,0,None,0,None,1,1,0,1,0
879,Felicia Murphy,2.677959131,115.564555,2,0,0,0,1,0.414322529,4,1,22,United States,2,Sciences,2,None,0,0,1,1,1
880,Daniel Eide,3.916133969,12.37442002,2,4,0,0,4,0.728892299,1,0,22,United States,1,Quantitative,3,Club/Intramural,0,0,1,1,0
881,David Jones,3.176531851,7.115500502,2,4,0,0,5,0.6944193,0,0,35,United States,1,Sciences,2,None,0,0,1,1,0
882,Margeret Jansen,4.005250824,52.39801585,2,1,0,0,3,0.06584688,0,1,23,Canada,1,Humanities,1,Club/Intramural,0,0,2,1,2
883,Iris Crowder,2.589348451,46.2864635,2,4,0,0,1,0.550168059,1,1,29,United States,1,Quantitative,2,Club/Intramural,1,1,2,1,0
884,Darlene Budde,4.155229655,99.51315134,1,3,0,0,0,0.8137159,0,1,31,United States,1,Quantitative,2,None,0,0,2,1,0
885,Chris Holifield,2.876144742,64.21789171,1,4,0,0,0,1.13095131,2,0,40,United States,2,Humanities,2,None,0,0,2,1,1
886,Valentin Hirz,3.292721625,60.59170926,0,0,0,0,1,0.507320287,0,0,23,United States,1,Humanities,1,None,0,0,0,1,1
887,Raymond Emerald,3.170987013,54.01473712,1,3,0,0,5,0.441376858,0,0,21,Australia,1,Humanities,2,Club/Intramural,1,1,2,1,2
888,Cristina Martinez,2.672977182,27.25004826,2,2,0,0,3,0.4057811,0,1,32,United States,2,Sciences,3,Club/Intramural,0,0,1,1,0
889,Mark Donnell,3.170862416,7.576738168,0,1,0,0,5,0.651319514,0,0,23,China,2,Engineering,3,None,0,0,0,1,1
890,Gerri Callaway,3.2686422,29.1234751,0,1,0,0,5,0.544286718,0,1,25,United States,1,Humanities,2,None,0,0,1,1,1
891,Jeramy Deiss,4.080675372,54.29969193,1,2,0,0,2,0.550042469,0,0,26,United States,1,Sciences,2,Club/Intramural,0,0,1,1,0
892,Billie Ray,3.217937364,18.40233324,0,4,0,0,4,0.309118825,2,1,26,United States,1,Humanities,2,Club/Intramural,0,0,1,1,0
893,Emilio Tejada,2.473758712,41.85585362,0,4,0,0,3,0.345228166,0,0,27,United States,1,Quantitative,1,None,0,0,1,1,0
894,Curt Vasquez,2.701965372,12.74418511,1,3,0,0,1,0.635808719,0,0,37,United States,1,Sciences,2,None,0,0,1,1,0
895,Julia Weber,2.920360672,51.32563748,0,0,0,0,5,0.41084822,1,1,34,United States,1,Humanities,2,Club/Intramural,1,1,1,1,0
896,Jacqueline Crow,4.089456343,45.79043132,0,0,0,0,2,0.654027651,4,1,31,United States,1,Quantitative,2,NCAA/Professional,0,0,1,1,0
897,Robert Poole,2.979421744,52.86644496,2,3,0,0,2,0.073869255,1,0,28,United States,1,Humanities,1,Club/Intramural,0,0,0,1,1
898,Betty Young,4.102015273,16.03412413,0,4,0,0,1,0.73447619,0,1,25,United States,1,Quantitative,1,None,0,0,1,1,0
899,Hung Markus,3.711794618,17.79723014,1,4,0,0,3,0.261033612,2,0,24,United States,1,Quantitative,3,None,0,0,1,1,1
900,Kelly Valentine,3.013677568,8.835415878,0,2,0,0,3,0.643252325,0,1,23,United States,2,Humanities,1,Club/Intramural,0,0,2,1,2
901,Alicia Lewis,3.395393468,10.48405623,2,2,0,0,1,0.658940976,0,1,22,Canada,1,Engineering,2,NCAA/Professional,0,0,0,1,1
902,Lola Holman,3.719949284,39.86152921,0,1,0,0,1,0.357262232,2,1,29,United States,1,Engineering,1,None,0,0,0,1,2
903,Diane Hubbell,3.320135061,13.80431016,2,1,0,0,1,0.034681976,1,1,25,Mexico,1,Engineering,1,None,0,0,0,1,0
904,Troy Marsh,2.799032644,60.51302259,0,0,0,0,2,1.093084354,0,0,27,United States,1,Sciences,1,Club/Intramural,0,0,2,1,2
905,Marissa Thompson,2.95474978,49.45751927,0,0,0,0,3,0.113441766,0,1,22,United States,2,Engineering,2,Club/Intramural,0,0,2,1,2
906,Leroy Johnson,3.038058004,52.4902304,0,1,0,0,2,0.829203083,0,0,36,United States,1,Humanities,3,Club/Intramural,0,0,1,1,0
907,Sally Woomer,3.653216949,5.902906965,2,2,0,0,1,0.465730831,0,1,25,United States,1,Sciences,2,None,0,0,1,1,2
908,Nathan Snider,2.063123723,17.3007093,0,4,0,0,2,0.347955578,0,0,22,United States,1,Quantitative,1,None,0,0,0,1,2
909,Douglas Mcguire,2.660128387,18.80488542,1,3,0,0,1,0.464445474,2,0,23,Mexico,2,Engineering,2,None,0,0,0,1,1
910,Andrew Mcgwin,3.54837685,30.99890842,0,4,0,0,1,0.51619229,0,0,35,United States,2,Quantitative,2,None,0,0,1,1,0
911,Arthur Vinck,3.809458146,75.9310771,0,1,0,0,3,0.427939913,2,0,31,United States,1,Quantitative,1,None,0,0,0,1,2
912,William Moore,3.290649785,22.83557692,0,4,0,0,5,0.496910516,1,0,25,United States,1,Engineering,2,Club/Intramural,0,0,0,1,0
913,Stacy White,3.905792699,65.51354329,2,3,0,0,1,0.428435626,0,1,29,United States,1,Engineering,2,Club/Intramural,0,0,1,1,2
914,Edward Davis,3.203576309,7.925705397,1,0,0,0,6,0.817152479,0,0,25,China,1,Humanities,1,Club/Intramural,0,0,0,1,0
915,Season Rushing,3.679974227,32.89999166,2,0,0,0,4,0.393065158,0,1,24,United States,2,Quantitative,2,None,0,0,1,1,1
916,Lillian Howard,3.458779748,74.99845332,2,3,0,0,2,0.607063367,0,1,26,United States,1,Quantitative,1,Club/Intramural,0,0,2,1,0
917,Shawn Powers,3.574358184,43.4842139,2,3,0,0,3,0.579083771,0,0,24,United States,1,Humanities,1,Club/Intramural,0,0,2,1,2
918,Rodger Kradel,2.488747083,8.971179158,1,4,0,0,3,0.935415719,2,0,23,United States,1,Quantitative,1,None,0,0,1,1,2
919,Terry Clark,3.48659515,9.12224986,2,1,0,0,5,0.159078206,0,0,23,United States,1,Quantitative,1,Club/Intramural,0,0,0,1,2
920,Rose Cotton,2.547472288,74.95787123,2,3,0,0,2,0.226445409,2,1,35,United States,1,Engineering,2,None,0,0,1,1,0
921,Muriel Barker,3.25872159,46.12668825,0,4,0,0,3,0.887232314,0,1,22,United States,1,Quantitative,1,None,0,0,1,1,2
922,Brian Lewis,3.347856793,13.49854303,2,0,0,0,3,0.461510475,0,0,28,United States,1,Quantitative,2,Club/Intramural,0,0,2,1,0
923,David Toscani,2.80566986,33.33524072,2,4,0,0,5,0.59048407,2,0,29,United States,1,Engineering,1,None,0,0,2,1,1
924,Travis Mitkowski,2.748137886,28.71881672,2,2,0,0,3,0.433713788,0,0,25,United States,1,Quantitative,1,NCAA/Professional,0,0,0,1,2
925,Richard Pace,3.173619579,32.88304193,0,0,0,0,3,0.274272271,0,0,25,China,1,Sciences,2,None,0,0,2,1,0
926,Robert Johnson,2.677143868,21.5723849,0,0,0,0,3,0.746568883,0,0,27,United States,1,Quantitative,2,Club/Intramural,0,0,1,1,0
927,Jessica Greene,3.254199805,39.09795501,1,1,0,0,5,0.126769199,1,1,29,United States,1,Sciences,3,Club/Intramural,0,0,2,1,1
928,Thomas Simpson,2.597894591,12.90030996,1,4,0,0,3,0.815566917,0,0,24,United States,1,Quantitative,2,None,0,0,1,1,1
929,Mary Bartolini,2.97456127,43.82573255,2,0,1,0,4,0.550469334,0,1,30,United States,2,Quantitative,1,Club/Intramural,0,0,1,1,2
930,Jane Lamey,3.119599814,39.1968757,2,2,0,0,1,0.325069855,0,1,28,United States,2,Quantitative,3,NCAA/Professional,0,0,1,1,2
931,Allen Roberts,3.226791704,82.29133453,2,1,0,0,5,0.44299277,0,0,31,United States,1,Sciences,2,None,0,0,2,1,1
932,Abram Demaire,3.759630336,75.14839952,0,3,0,0,3,0.792420423,0,0,26,United States,1,Quantitative,2,None,0,0,2,1,0
933,Betty Holloway,3.398192571,2.945876416,2,1,0,0,5,0.378489678,1,1,21,United States,1,Humanities,2,Club/Intramural,0,0,1,1,2
934,Kyle Engstrom,2.337322346,24.01996634,2,1,0,0,2,0.536934304,0,0,29,Australia,1,Humanities,2,Club/Intramural,0,0,1,1,1
935,Thomas Darrah,3.731687741,41.74708084,1,2,0,0,2,0.826409547,0,0,26,United States,1,Sciences,2,None,0,0,2,1,0
936,Patrick Epstein,3.132078229,51.87322299,1,1,0,0,1,0.775225277,0,0,23,United States,1,Sciences,3,None,1,1,2,1,2
937,Jessica Kelly,2.681114399,19.61184774,2,4,0,0,0,0.446238998,0,1,24,United States,1,Humanities,2,None,0,0,0,1,1
938,Cynthia Olsen,3.012890851,28.49326306,0,4,0,0,4,0.357255088,0,1,23,United States,1,Engineering,2,None,0,0,0,1,2
939,Zachary Gold,2.832893868,8.757509521,2,1,0,0,3,0.569358512,1,0,24,China,1,Quantitative,1,None,0,0,0,1,1
