,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score
199,Christopher Burcham,3.316920442,29,1,4,0,0,2,0.712706506,4,0,27,United States,0,None,0,None,0,0,2,1,2
200,Terry Patterson,3.314236493,42,0,0,0,0,3,0.6782588559999999,0,1,24,United States,1,Humanities,2,None,0,0,1,1,0
201,Robert Martin,3.311966003,26,0,1,0,0,3,0.6755882990000001,0,0,27,United States,1,Quantitative,1,Club/Intramural,0,0,2,1,2
202,David Larson,3.309286824,78,0,2,0,0,1,0.151010699,0,0,27,United States,1,Quantitative,2,None,0,0,0,1,1
203,George Conner,3.308395557,46,2,4,0,0,4,0.48781553,0,0,28,United States,1,Quantitative,1,NCAA/Professional,0,0,0,1,1
204,Harold Merklein,3.3078637110000004,28,0,3,0,0,0,0.45624097399999997,0,0,29,United States,2,Sciences,2,Club/Intramural,0,0,1,1,1
205,Mildred Wilson,3.3064706960000003,36,0,3,0,0,1,0.142290728,0,1,33,United States,1,Sciences,3,NCAA/Professional,0,0,1,1,0
206,Shirley Soliz,3.3006477860000003,44,1,3,0,0,2,0.653496944,0,1,24,India,1,Humanities,2,None,0,0,2,1,1
207,Johnny Matthews,3.295731963,93,2,3,0,0,3,0.360168365,0,0,42,United States,1,Quantitative,3,Club/Intramural,0,0,2,1,1
208,Shelley Aguilar,3.295068235,36,0,4,0,0,3,0.698600309,0,1,26,United States,0,None,0,None,0,0,1,1,1
209,Joshua Sellers,3.291778121,57,0,1,0,0,6,0.38834592799999995,0,0,27,United States,1,Humanities,2,Club/Intramural,0,0,1,1,2
210,Paul Small,3.2867996660000003,63,0,0,1,0,5,0.36188876200000003,1,0,27,United States,2,Quantitative,2,Club/Intramural,0,0,1,1,0
211,Francis Walker,3.279927036,19,1,2,1,0,2,0.262860277,0,0,31,United States,1,Sciences,2,Club/Intramural,1,1,1,1,0
212,April Schmid,3.279474863,81,0,4,0,0,3,0.068731788,0,1,25,United States,1,Humanities,1,None,1,1,1,1,1
213,Maria Cahill,3.2789482010000004,17,0,0,0,0,3,0.29608235,0,1,21,United States,2,Engineering,2,Club/Intramural,0,0,0,1,1
214,Harvey Hunter,3.2756138110000004,70,2,1,0,0,2,0.7588944320000001,0,0,32,United States,1,Quantitative,1,None,0,0,1,1,1
215,Diane Hackett,3.273974261,101,0,2,0,0,2,0.372475813,3,1,24,United States,1,Sciences,1,None,0,0,1,1,2
216,Jesse Adams,3.273571487,29,2,2,0,1,3,0.866513937,0,0,31,United States,1,Humanities,2,None,0,0,0,1,0
217,Debbie Andrews,3.2689630569999997,72,0,1,0,0,3,0.181949778,0,1,31,United States,1,Engineering,2,Club/Intramural,0,0,2,1,1
218,Brian Hendrickson,3.268020374,21,2,1,0,1,4,0.619745612,0,0,24,United States,1,Sciences,1,Club/Intramural,0,0,0,1,1
219,John Rivera,3.259820275,46,0,2,0,1,1,0.329083027,0,0,27,United States,1,Humanities,2,None,0,0,0,1,2
220,Jorge Smith,3.259383975,46,0,4,0,0,0,0.357157734,0,0,29,United States,2,Engineering,3,Club/Intramural,0,0,1,1,2
221,William Gagnon,3.257232661,57,0,4,0,0,3,0.6829028359999999,3,0,30,United States,1,Quantitative,1,None,0,0,1,1,1
222,Trevor Phillips,3.256029133,97,1,1,0,0,5,0.224386893,0,0,41,United States,1,Sciences,2,None,0,0,1,1,2
223,Timothy Crosby,3.255887313,36,1,1,0,0,2,0.374739265,0,0,26,United States,1,Quantitative,2,Club/Intramural,0,0,2,1,1
224,Pauline Judd,3.255424291,12,0,1,0,0,1,0.7824331529999999,0,1,23,United States,1,Sciences,1,None,0,0,0,1,2
225,Arthur Valdez,3.253157245,83,2,2,0,0,4,0.313525058,0,0,29,United States,1,Sciences,1,None,0,0,1,1,1
226,Benjamin Lapp,3.25229052,51,0,1,1,0,1,0.788651567,0,0,23,United States,1,Humanities,1,Club/Intramural,0,0,0,1,1
227,Lester Morrow,3.2520773,31,2,3,0,0,4,0.715771547,4,0,27,United States,1,Quantitative,1,NCAA/Professional,0,0,2,1,0
228,Barbara Webb,3.247103715,21,0,3,0,0,6,0.581868772,0,1,29,Canada,1,Humanities,2,NCAA/Professional,0,0,0,1,2
229,Andre White,3.246087189,5,1,0,0,1,4,0.972468041,0,0,34,Mexico,2,Sciences,2,None,0,0,1,1,2
230,Moises Hill,3.245478765,61,2,0,0,0,1,0.757270935,0,0,28,India,1,Sciences,2,Club/Intramural,0,0,1,1,1
231,Paul Adams,3.2411621569999998,52,2,0,1,0,2,0.440363925,4,0,29,United States,2,Quantitative,2,Club/Intramural,1,1,0,1,2
232,Janice Klein,3.237091649,57,1,2,0,0,3,0.58709662,0,1,24,India,1,Engineering,1,None,0,0,0,1,0
233,Lee Lewis,3.236320619,47,2,4,1,0,2,0.385469003,1,0,30,United States,1,Sciences,1,None,1,1,0,1,1
234,William Burnett,3.234670341,73,0,1,0,0,3,0.8197259790000001,1,0,24,United States,1,Sciences,1,Club/Intramural,0,1,1,1,0
235,Donna Vermillion,3.234190967,54,1,4,1,0,4,0.327583312,0,1,33,United States,1,Sciences,2,None,0,0,1,1,1
236,Clarissa Garcia,3.2292072760000003,87,0,3,0,0,4,0.099218106,2,1,29,United States,1,Quantitative,1,NCAA/Professional,0,0,1,1,1
237,Jane Lechler,3.226469572,20,0,1,0,0,1,0.683659235,0,1,30,United States,1,Sciences,2,None,0,0,0,1,1
238,Theresa Heilig,3.2203335560000004,86,0,4,0,0,2,0.167627605,3,1,25,China,2,Engineering,2,None,0,0,0,1,0
239,Melvin Gebhardt,3.218454257,25,1,3,0,0,4,0.19225227399999997,0,0,30,United States,1,Humanities,3,None,1,1,0,1,1
240,Gregory Horn,3.217613287,34,0,2,0,0,4,1.105482587,0,0,23,United States,1,Sciences,3,None,0,0,1,1,2
241,Roy Hoffman,3.2173590510000003,62,2,1,0,0,1,0.41605824700000005,0,0,22,United States,1,Humanities,2,Club/Intramural,0,0,1,1,2
242,Richard Runions,3.214932788,5,1,2,0,0,2,0.39121066200000004,0,0,37,United States,1,Sciences,3,None,0,0,1,1,2
243,Stanley Morgan,3.213204292,5,0,2,0,0,1,0.808263507,2,0,31,United States,1,Humanities,2,None,0,0,1,1,1
244,Thomas Whitten,3.210628938,24,2,4,1,0,2,1.1455773759999999,0,0,25,United States,1,Humanities,2,Club/Intramural,0,0,1,1,0
245,Fidel Omoyosi,3.1948677739999995,37,0,0,0,0,2,0.798493036,0,0,24,United States,1,Humanities,3,NCAA/Professional,0,0,1,1,2
246,Shirley Black,3.193994617,120,0,0,1,0,2,0.291854245,0,1,22,United States,1,Humanities,3,None,0,0,0,1,0
247,Richard Bush,3.19193459,105,1,3,0,0,0,0.639546921,0,0,23,United States,1,Engineering,2,NCAA/Professional,0,0,2,1,1
248,Vern Peterson,3.1909130130000003,30,2,2,0,0,0,0.640215629,0,0,22,United States,1,Engineering,2,None,0,0,1,1,1
249,Mildred Adams,3.188764368,108,1,2,0,0,1,0.241940817,2,1,24,China,1,Engineering,1,None,0,0,1,1,0
250,Randall Phillips,3.188070769,76,1,3,0,0,3,0.5773265879999999,0,0,35,United States,1,Sciences,2,None,0,0,1,1,2
251,William Mcbryde,3.18793741,50,2,0,0,0,4,0.48433798,0,0,25,Canada,2,Engineering,3,Club/Intramural,0,0,1,1,0
252,Jeremy Dion,3.187791271,57,0,3,0,0,4,0.157457407,0,0,27,United States,2,Sciences,3,None,0,0,1,1,1
253,Kelly Gaddis,3.1869348989999997,120,0,2,0,0,3,1.03334343,0,1,23,United States,1,Quantitative,1,Club/Intramural,0,0,0,1,0
254,Nickolas Rogers,3.184182041,10,2,4,0,0,3,0.520514126,4,0,22,United States,1,Sciences,3,NCAA/Professional,0,0,1,1,0
255,Ralph Johnson,3.183111926,5,2,1,0,0,2,0.515808169,0,0,26,United States,1,Sciences,1,None,0,0,1,1,2
256,Lori Neal,3.180447595,41,0,2,0,0,5,0.845885131,0,1,30,United States,2,Engineering,2,None,0,0,2,1,1
257,Sarah Picard,3.175651608,44,0,4,0,0,2,0.7651657409999999,0,1,26,United States,1,Humanities,2,Club/Intramural,0,0,2,1,1
258,Amy Atwell,3.175110526,14,1,3,0,0,1,0.574519669,0,1,23,United States,1,Humanities,2,None,0,0,0,1,1
259,Renea Rankin,3.174982085,81,2,3,0,0,5,0.622995665,0,1,23,Canada,1,Quantitative,2,Club/Intramural,0,0,2,1,0
260,Raymond Bilal,3.16970595,81,2,4,0,0,4,0.37043105299999995,0,0,28,United States,1,Engineering,1,None,0,0,1,1,0
261,Paul Caudill,3.163624265,52,1,2,0,0,4,0.519168796,0,0,29,United States,2,Humanities,1,None,0,0,0,1,2
262,Marie Kinkel,3.15788628,57,1,3,0,0,3,0.541481344,0,1,26,United States,1,Quantitative,2,NCAA/Professional,0,1,1,1,1
263,Carl Armstrong,3.1544535369999998,34,0,4,0,0,4,0.755799575,2,0,27,United States,1,Quantitative,2,Club/Intramural,0,0,2,1,1
264,Dorothy Howard,3.14837306,31,0,0,0,0,4,0.836784328,1,1,30,United States,2,Sciences,1,Club/Intramural,1,1,2,1,1
265,Jay Walker,3.1480951939999997,10,2,2,0,1,5,0.184154934,0,0,29,United States,1,Sciences,1,None,0,0,1,1,2
266,Heather Kelly,3.142823499,76,0,0,0,1,3,-0.070517665,0,1,24,United States,1,Quantitative,2,None,0,0,1,1,2
267,Doris Cox,3.1428019989999996,76,1,4,0,0,0,0.388000154,2,1,29,United States,1,Sciences,1,None,0,0,2,1,1
268,Shawna Jackson,3.1397897219999997,36,1,2,0,0,3,0.324063447,0,1,28,United States,1,Humanities,2,None,0,0,1,1,2
269,Maria Macdougall,3.130452387,13,0,3,0,0,4,0.583828244,0,1,28,United States,1,Sciences,1,None,0,0,1,1,0
270,Gary Enochs,3.128147678,41,1,4,0,0,5,0.896835803,2,0,37,United States,1,Engineering,2,None,0,0,0,1,1
271,Thomas Fonseca,3.127396384,53,2,2,0,0,3,0.693713355,0,0,27,United States,2,Humanities,1,Club/Intramural,0,0,1,1,0
272,Sarah Johnson,3.12588815,5,1,0,0,0,4,0.608489155,0,1,26,United States,1,Engineering,3,Club/Intramural,0,0,0,1,0
273,Tonya Sterry,3.1218471169999997,11,0,1,0,0,4,0.987069755,0,1,29,United States,1,Engineering,3,None,0,0,1,1,0
274,William Jones,3.120131493,47,0,3,0,0,3,0.479190995,0,0,27,United States,1,Engineering,1,None,1,0,1,1,2
275,Larry Pompey,3.1184357819999997,5,1,2,0,1,1,0.632590808,3,0,28,United States,1,Sciences,1,NCAA/Professional,0,0,1,1,2
276,Christopher Jordan,3.117019441,5,2,3,0,0,3,0.8370931859999999,0,0,24,United States,1,Quantitative,2,Club/Intramural,0,0,1,1,0
277,Bobbie Walker,3.116672121,50,0,3,0,0,6,0.514913567,0,1,25,United States,1,Engineering,2,None,0,0,2,1,2
278,Maurita Prestridge,3.1142314939999998,18,0,4,0,0,1,0.605801403,0,1,21,United States,2,Quantitative,1,None,0,0,1,1,2
279,Jose Albert,3.113720598,56,1,3,0,0,2,0.7059502320000001,4,0,29,United States,1,Engineering,1,Club/Intramural,0,0,0,1,1
280,Michael Cohen,3.113315042,34,2,3,0,0,3,0.7147790820000001,2,0,27,United States,2,Quantitative,3,Club/Intramural,0,0,0,1,1
281,Gary Perreault,3.1120121210000002,31,0,4,0,0,1,0.36831801200000003,0,0,32,United States,1,Humanities,2,None,0,0,0,1,2
282,John Mock,3.109543332,68,1,1,0,1,3,0.41992532,0,0,27,China,1,Quantitative,2,None,0,0,1,1,0
283,Pamela Fletcher,3.109523237,42,0,3,0,0,3,0.305352477,0,1,35,United States,1,Sciences,2,None,0,0,0,1,2
284,Barbara Estrada,3.102132505,69,1,2,0,0,5,-0.016508903999999998,0,1,24,United States,1,Quantitative,1,None,0,0,1,1,0
285,Michael Matthews,3.1019502919999997,78,0,1,0,0,4,0.46823516299999995,0,0,21,United States,1,Sciences,1,NCAA/Professional,0,0,2,1,0
286,Doug Miley,3.1017508960000004,5,0,3,0,0,3,0.571857587,0,0,37,United States,1,Sciences,2,NCAA/Professional,0,0,0,1,1
287,Lisa Shaner,3.101519223,71,2,2,0,0,4,0.735128538,3,1,29,Mexico,1,Engineering,2,None,0,0,1,1,1
288,Sherri Swope,3.0993417489999997,29,2,0,0,0,1,0.334051175,0,1,26,United States,1,Engineering,1,Club/Intramural,0,0,1,1,2
289,David Nixon,3.093977111,28,2,2,0,0,2,1.101041967,0,0,32,United States,1,Sciences,2,Club/Intramural,0,0,1,1,0
290,Yvette Lawson,3.093317846,54,0,0,0,0,3,0.688061238,4,1,29,China,1,Quantitative,2,Club/Intramural,0,0,0,1,2
291,Sheila Bryant,3.089170901,71,0,3,0,0,3,0.305708741,0,1,29,United States,0,None,0,None,0,0,1,1,1
292,Shirley Morrison,3.088070956,104,0,4,0,1,3,0.595750084,0,0,23,United States,1,Quantitative,2,None,0,0,0,1,2
293,Edward Mcgee,3.08490426,25,1,4,0,0,4,0.598998729,2,0,34,United States,0,None,0,None,1,1,1,1,2
294,Richard Johnson,3.0830944610000004,24,2,2,0,0,2,0.404483992,2,0,35,China,1,Engineering,2,None,0,0,0,1,0
295,Jamie Boggs,3.081648351,37,1,1,0,0,4,0.195959296,0,1,22,United States,1,Humanities,1,None,0,0,1,1,0
296,Deborah Ley,3.081268437,26,1,0,0,0,5,0.860876112,0,1,29,United States,1,Humanities,2,Club/Intramural,0,0,2,1,0
297,Robert Williford,3.07850386,15,2,1,0,0,4,0.07172862099999999,0,0,27,United States,2,Humanities,2,None,0,0,1,1,1
298,Randy Miller,3.07390798,54,1,1,1,0,3,0.21649648100000002,2,0,31,United States,1,Quantitative,1,None,0,0,1,1,2
299,Juan Davis,3.0707348260000003,12,2,2,0,0,1,-0.014520348,0,0,21,United States,2,Sciences,2,None,0,0,1,1,1
300,August Gray,3.069280408,30,2,1,1,0,5,0.536487217,0,0,24,United States,1,Sciences,2,None,0,0,1,1,1
301,Christine Gump,3.06852169,27,0,2,0,0,5,1.070611426,0,1,28,United States,1,Sciences,2,None,0,0,2,1,0
302,John Courser,3.0659376710000004,20,0,2,0,0,4,0.596780898,2,0,25,United States,2,Quantitative,2,NCAA/Professional,1,1,0,1,1
303,Derek Batchelor,3.065259892,74,0,1,0,0,2,0.6662101570000001,0,0,24,United States,1,Quantitative,2,None,0,0,0,1,0
304,Thomas Hazel,3.064213483,35,0,1,0,0,3,0.007011155,0,0,23,United States,0,None,0,None,0,0,1,1,2
305,Andrew Lee,3.0592112289999998,67,0,1,0,0,2,0.648296765,1,0,25,United States,1,Quantitative,1,NCAA/Professional,1,1,1,1,2
306,Tony Baker,3.0582253410000004,80,2,3,0,0,2,0.20496618600000002,1,0,24,United States,1,Quantitative,2,Club/Intramural,0,0,1,1,2
307,James Johnson,3.053915706,18,2,1,0,0,6,-0.027266251000000002,0,0,22,United States,1,Engineering,1,Club/Intramural,0,0,0,1,1
308,Amy Igbal,3.049332391,43,0,2,1,0,6,0.6196765679999999,1,1,21,United States,1,Quantitative,2,None,0,1,2,1,1
309,Juan Adkins,3.0453983119999997,78,0,1,0,0,2,0.468507703,0,0,27,Australia,1,Humanities,1,None,0,0,0,1,2
310,Helen Adams,3.041709122,46,0,2,0,1,2,0.28100320300000003,4,1,29,United States,1,Engineering,2,None,0,0,0,1,2
311,Susann Presley,3.0405236939999996,71,1,1,0,0,2,0.45820004799999997,4,1,25,United States,1,Humanities,1,Club/Intramural,0,0,1,1,1
312,Jean Brown,3.035104436,88,2,3,0,0,5,0.35687899,0,0,36,United States,1,Sciences,1,None,0,0,2,1,1
313,Robert Wiseman,3.031997112,5,1,3,0,0,2,0.49158346700000005,0,0,24,United States,2,Humanities,3,None,0,0,2,1,0
314,Kurt Barker,3.029807215,44,0,2,0,0,6,0.175051022,0,0,29,United States,1,Engineering,2,None,1,1,1,1,2
315,Brandy Francis,3.0210699539999997,94,1,3,0,0,1,0.197860015,2,1,27,United States,1,Quantitative,2,Club/Intramural,0,0,0,1,1
316,Brian Lee,3.0202765589999996,62,0,2,0,0,4,0.28823899,0,0,29,United States,1,Engineering,1,NCAA/Professional,0,0,1,1,1
317,Harry Payne,3.018085495,5,2,1,1,0,4,0.505321235,0,0,23,United States,1,Humanities,2,Club/Intramural,0,0,1,1,0
318,Williams Bauman,3.01763637,33,1,1,0,0,5,0.557469581,2,0,23,Australia,1,Quantitative,2,Club/Intramural,0,0,0,1,1
319,Emery Whittemore,3.013954387,45,2,2,0,0,3,0.610249014,4,0,30,China,1,Quantitative,2,None,0,0,2,1,0
320,Donald Necaise,3.0114669419999998,72,1,3,0,0,3,0.837926733,0,0,24,India,0,None,0,None,0,0,1,1,1
321,Justin Butler,3.0098021389999996,73,1,4,1,0,6,0.844371575,0,0,25,United States,2,Humanities,2,Club/Intramural,0,0,2,1,0
322,Stephen Morin,3.003944081,29,2,1,0,0,2,0.570532258,0,0,29,United States,1,Quantitative,1,Club/Intramural,0,0,0,1,0
323,Karen Miller,3.002438249,46,1,4,0,0,5,0.48786802100000004,0,1,28,United States,2,Quantitative,2,None,0,0,0,1,0
324,Casandra Bush,3.001248701,110,0,2,1,0,4,0.333567312,0,1,25,United States,1,Sciences,2,Club/Intramural,0,0,2,1,0
325,Joseph Lankford,3.000488597,42,0,0,0,0,3,0.6741540890000001,0,0,29,United States,1,Engineering,1,None,0,0,2,1,0
326,Beatrice Lee,3.0,68,0,1,0,0,2,0.5,3,1,24,United States,1,Engineering,1,None,0,1,1,0,0
327,David Reed,2.992162335,53,1,1,0,1,2,0.440929987,0,0,24,United States,1,Engineering,2,None,0,0,1,1,0
328,Ethel Butler,2.989846005,135,0,2,0,0,4,0.8385660070000001,1,1,31,United States,1,Engineering,2,None,0,1,0,1,1
329,Arnold Cameron,2.9893776219999997,30,1,4,0,0,5,0.29718642,0,0,23,United States,1,Quantitative,2,None,0,0,0,1,0
330,Leroy Liscomb,2.985717918,14,0,1,0,0,3,0.39759013200000004,0,0,23,United States,2,Humanities,2,None,0,0,1,1,2
331,John Leroy,2.981785082,72,2,0,0,0,4,0.544569969,2,0,21,United States,1,Humanities,2,None,0,0,0,1,0
332,Sandy Gregory,2.97339196,61,2,4,0,0,1,0.899319335,0,0,23,United States,2,Engineering,2,Club/Intramural,0,0,0,1,0
333,Christopher Frilling,2.9662805339999996,82,1,2,0,1,2,0.38309456799999997,1,0,23,United States,1,Quantitative,1,None,0,0,1,1,0
334,John Boudreaux,2.966233941,5,1,1,0,0,0,0.865651251,0,0,30,United States,1,Engineering,2,None,0,1,1,1,2
335,Timothy Johnson,2.953404402,13,2,3,0,0,0,0.55583711,2,0,23,China,1,Engineering,2,Club/Intramural,0,0,2,1,0
336,Mark Benitez,2.9533277239999998,76,0,0,0,1,2,0.440408753,1,0,26,United States,1,Sciences,1,None,0,0,1,1,0
337,David Duey,2.9529747580000003,5,1,0,0,0,4,0.7156020120000001,0,0,25,United States,1,Engineering,3,Club/Intramural,0,0,2,1,0
338,Robert Dalbec,2.952602484,59,2,1,0,0,2,1.023081535,1,0,31,United States,1,Quantitative,1,None,1,0,0,1,0
339,Calvin Hulsey,2.9405426489999997,76,1,4,0,0,4,0.688940164,2,0,26,China,1,Sciences,1,None,0,0,2,1,0
340,Dean Delcastillo,2.936591598,40,1,2,0,0,3,0.618139903,0,0,26,United States,1,Quantitative,2,NCAA/Professional,0,0,1,1,0
341,Ralph Pryor,2.9336686910000003,39,0,2,0,0,1,0.622454876,0,0,37,United States,1,Quantitative,2,None,0,0,1,1,1
342,Rick Cultice,2.932537463,5,0,1,0,0,5,0.651020577,0,0,30,United States,2,Quantitative,3,None,0,0,1,1,1
343,Virginia Cox,2.930320951,113,0,2,0,0,5,0.8963003709999999,0,1,26,United States,0,None,0,None,0,0,0,1,0
344,Dorothy Youree,2.9271771380000002,20,2,0,0,0,2,0.21375563600000003,2,1,24,United States,1,Quantitative,2,Club/Intramural,0,0,1,1,2
345,Evelyn Water,2.9230714460000002,48,1,2,0,0,3,0.786270276,2,1,36,United States,2,Sciences,2,None,0,0,1,1,2
346,Judith Luna,2.9131655569999997,83,0,0,0,0,3,0.5495404979999999,1,1,21,United States,1,Engineering,2,Club/Intramural,0,0,2,1,1
347,Donald Watson,2.912873453,52,0,1,0,0,3,0.966824204,2,0,25,India,1,Quantitative,2,None,0,0,1,1,1
348,Jared Gordon,2.91007031,84,2,3,0,0,4,0.33077517300000003,2,0,23,United States,0,None,0,None,0,0,1,1,1
349,Samuel Coleman,2.909588607,88,2,3,0,0,5,0.673059645,0,0,32,United States,0,None,0,None,0,0,2,1,1
350,Debra Fagan,2.908856572,31,1,0,0,0,1,0.43050012,0,1,29,China,1,Humanities,1,NCAA/Professional,0,0,1,1,0
351,Jackson Culp,2.90825508,5,0,0,0,0,4,0.312589136,0,0,26,United States,1,Humanities,1,None,0,0,2,1,1
352,Harold Beck,2.9073152739999997,35,1,0,0,0,1,0.648345669,2,0,23,United States,0,None,0,None,0,0,2,1,0
353,June Crowder,2.906102986,85,1,0,0,0,5,0.127873775,0,1,30,United States,1,Humanities,2,Club/Intramural,1,1,0,1,2
354,Homer Dillon,2.9043430810000004,64,1,1,0,0,5,0.629876109,1,0,30,Australia,1,Quantitative,1,None,1,1,0,1,2
355,Chris Thomas,2.902799958,57,2,2,0,0,1,0.5888218510000001,0,0,29,China,2,Engineering,1,Club/Intramural,0,0,0,1,0
356,Roxanna Lewis,2.902055341,5,2,2,0,0,2,0.729784402,0,1,28,United States,1,Engineering,1,None,0,0,1,1,0
357,Mary Reese,2.899792985,67,0,1,1,0,3,0.6455121620000001,0,1,24,United States,1,Humanities,1,Club/Intramural,0,0,1,1,0
358,Kurt Deoliveira,2.89848509,35,2,2,0,0,2,0.74281202,0,0,31,United States,1,Engineering,2,None,0,0,2,1,1
359,Clyde Zediker,2.8935203069999997,55,0,2,0,0,5,0.318627645,0,0,26,United States,1,Engineering,1,None,0,0,0,1,2
360,Micaela Cox,2.892813771,5,0,3,0,0,5,0.672331308,0,1,33,United States,1,Sciences,1,None,0,0,2,1,0
361,Frank James,2.8927075060000003,26,2,3,0,0,1,0.34588200399999997,0,0,34,United States,1,Humanities,3,None,0,0,1,1,2
362,Dominic Perry,2.892210482,93,0,0,0,0,3,1.03926105,3,0,26,United States,1,Humanities,1,Club/Intramural,0,0,2,1,2
363,Kelley Lopez,2.892167063,32,0,4,0,0,4,0.818521808,0,1,22,United States,1,Sciences,2,Club/Intramural,0,0,1,1,2
364,Beverly Lyon,2.888526029,35,1,4,0,0,4,0.554462551,0,1,24,United States,2,Engineering,1,Club/Intramural,1,1,2,1,0
365,Fred Houston,2.888195063,40,2,3,0,0,3,0.23036359899999997,0,0,27,United States,1,Humanities,1,Club/Intramural,0,0,0,1,1
366,Richard Sterling,2.879056447,91,1,1,0,0,2,0.556050218,1,0,23,United States,2,Humanities,2,Club/Intramural,1,1,1,1,1
367,Tasha Tannenbaum,2.8751732619999997,79,0,2,0,0,2,0.800870018,0,1,26,United States,1,Humanities,3,None,0,0,2,1,2
368,Joe West,2.8748422280000003,83,1,3,1,0,5,0.45823429600000004,1,0,22,United States,2,Humanities,2,Club/Intramural,1,1,2,1,2
369,Hazel Anderson,2.866734744,40,1,0,1,0,1,0.7162340979999999,0,1,30,United States,1,Engineering,1,Club/Intramural,0,0,0,1,0
370,Robert Marks,2.866065915,13,2,2,0,0,4,0.358496196,0,0,24,Canada,1,Sciences,3,None,0,0,0,1,2
371,Lucille Ivey,2.860370235,45,0,4,1,0,0,0.703056065,3,1,22,India,1,Humanities,1,None,0,0,1,1,2
372,Kelly Duval,2.858011565,130,0,4,0,0,3,0.333411938,1,1,26,United States,1,Quantitative,1,None,0,1,1,1,2
373,Melissa Fields,2.853393137,86,1,0,0,0,4,0.793074475,0,1,27,Canada,1,Humanities,3,None,0,0,1,1,1
374,Henry Banh,2.84907562,34,1,2,0,0,1,0.300483909,0,0,26,United States,1,Humanities,2,Club/Intramural,0,0,1,1,0
375,Ronald Nikas,2.848725892,22,1,3,0,1,4,0.517003318,0,0,28,United States,1,Humanities,1,None,0,0,1,1,1
376,Bo Le,2.842,100,0,0,0,0,1,0.21123000000000003,4,0,50,United States,0,None,1,None,1,1,1,0,0
377,Kathleen Ivan,2.8417996710000004,5,1,2,0,0,3,0.335903326,2,1,28,United States,1,Quantitative,2,None,0,0,0,1,1
378,Patricia Jelinek,2.831385573,53,1,1,0,0,4,0.64973681,0,1,27,United States,1,Humanities,1,None,0,0,0,1,0
379,Olga Kelley,2.830288294,5,0,4,0,0,4,0.6806387709999999,0,1,28,United States,2,Humanities,3,Club/Intramural,0,0,1,1,0
380,Carissa Schmidt,2.8282657860000002,24,0,2,0,1,6,0.745267687,0,1,24,United States,1,Humanities,2,None,0,0,2,1,2
381,Joyce Irvin,2.81090955,22,1,1,0,0,5,0.228769098,2,1,21,United States,2,Engineering,1,Club/Intramural,0,0,2,1,2
382,Danny Gugler,2.809417727,32,0,4,0,1,2,0.9590936640000001,0,0,23,United States,2,Quantitative,1,Club/Intramural,0,0,0,1,2
383,Jared Rosales,2.8082952239999996,102,1,0,1,0,2,0.42566144100000003,1,0,27,United States,1,Engineering,1,Club/Intramural,0,0,0,1,1
384,Melissa Lymon,2.8016072339999996,103,2,3,0,0,2,0.753813575,1,1,25,China,1,Humanities,1,None,0,0,0,1,2
385,Shaun Kelly,2.797561304,41,2,3,1,0,5,0.805972492,0,0,24,United States,0,None,0,None,0,0,1,1,2
386,Larry Roesler,2.7950713310000004,68,1,2,0,0,3,0.34959273799999996,0,0,24,United States,1,Engineering,1,None,0,0,1,1,1
387,Cheryl Vallejo,2.794186991,5,0,1,1,0,5,0.235930812,0,1,24,United States,2,Sciences,2,None,0,1,0,1,0
388,Paul Forbes,2.79314766,17,1,2,0,0,1,0.549548965,0,0,26,United States,2,Humanities,1,None,1,1,1,1,2
389,Billy Johnson,2.7927384539999998,23,1,2,0,0,2,0.375724413,0,0,23,United States,1,Sciences,2,Club/Intramural,0,0,0,1,1
390,Arthur Salazar,2.787904534,20,1,2,0,0,2,1.0033569740000001,0,0,28,India,1,Engineering,1,NCAA/Professional,0,0,1,1,0
391,Betty Perez,2.785391277,33,1,3,0,0,2,0.382985412,0,1,21,Australia,1,Quantitative,2,None,0,0,2,1,2
392,Jason Mcmahan,2.7852132480000003,41,0,2,0,0,5,0.5870897620000001,0,0,23,United States,2,Engineering,1,None,0,0,0,1,2
393,Regina Voller,2.782498576,16,0,2,0,0,5,0.393059063,0,1,25,United States,1,Quantitative,2,None,0,0,1,1,2
394,Mary Neal,2.781614277,48,1,2,0,0,1,0.817566508,3,1,22,China,1,Sciences,2,Club/Intramural,0,0,1,1,0
395,Jennifer Stewart,2.78112805,18,0,4,1,0,5,0.866141005,3,1,27,United States,1,Engineering,1,None,0,0,1,1,1
396,Evelyn Brown,2.778517036,19,0,1,0,0,3,0.541956609,0,1,23,United States,1,Humanities,1,Club/Intramural,0,0,1,1,1
397,John Clark,2.776858615,10,0,3,0,0,4,0.435835012,1,0,23,United States,2,Quantitative,2,None,0,1,1,1,1
398,Dwayne Silbert,2.7744609430000002,47,0,4,0,0,5,0.294094308,0,0,28,United States,1,Engineering,1,None,0,0,2,1,0
399,Oscar Brougham,2.770904419,62,2,3,0,0,6,0.538081723,0,0,33,United States,1,Humanities,3,None,0,0,1,1,0
400,Hal Crowson,2.7684794839999998,40,2,0,0,0,2,1.010933334,0,0,22,United States,1,Humanities,1,None,0,0,0,1,2
